frequency f in Hz; re(r) ; im(r)
676.000000;0.623653;-0.157284
677.000000;0.623938;-0.156521
678.000000;0.623504;-0.155613
679.000000;0.624236;-0.155701
680.000000;0.624719;-0.156191
681.000000;0.624269;-0.157188
682.000000;0.623439;-0.157180
683.000000;0.623824;-0.156734
684.000000;0.624613;-0.155183
685.000000;0.624229;-0.155612
686.000000;0.622103;-0.157437
687.000000;0.621916;-0.157128
688.000000;0.623971;-0.156024
689.000000;0.624249;-0.155488
690.000000;0.623711;-0.156483
691.000000;0.623521;-0.155605
692.000000;0.622122;-0.155581
693.000000;0.623864;-0.154791
694.000000;0.623237;-0.154440
695.000000;0.622797;-0.154566
696.000000;0.623515;-0.153743
697.000000;0.623174;-0.154623
698.000000;0.623047;-0.155117
699.000000;0.622547;-0.153856
700.000000;0.623361;-0.153975
701.000000;0.621214;-0.154215
702.000000;0.621823;-0.153329
703.000000;0.623926;-0.154443
704.000000;0.625331;-0.155423
705.000000;0.623179;-0.152882
706.000000;0.621580;-0.151832
707.000000;0.622939;-0.151045
708.000000;0.622924;-0.152145
709.000000;0.622311;-0.153066
710.000000;0.620678;-0.151459
711.000000;0.622139;-0.151192
712.000000;0.622759;-0.151515
713.000000;0.624263;-0.150172
714.000000;0.622700;-0.149828
715.000000;0.622224;-0.151782
716.000000;0.621566;-0.152061
717.000000;0.621799;-0.150291
718.000000;0.623170;-0.151433
719.000000;0.621268;-0.152867
720.000000;0.621080;-0.153658
721.000000;0.621841;-0.151413
722.000000;0.623208;-0.150597
723.000000;0.620961;-0.152158
724.000000;0.619738;-0.151785
725.000000;0.622062;-0.151681
726.000000;0.621832;-0.150876
727.000000;0.621632;-0.151033
728.000000;0.622000;-0.153592
729.000000;0.622688;-0.152712
730.000000;0.621909;-0.148367
731.000000;0.621806;-0.148920
732.000000;0.620265;-0.150446
733.000000;0.618468;-0.149838
734.000000;0.617906;-0.149680
735.000000;0.618479;-0.148814
736.000000;0.619105;-0.148162
737.000000;0.620418;-0.148048
738.000000;0.620308;-0.149750
739.000000;0.620721;-0.149562
740.000000;0.621441;-0.150014
741.000000;0.621935;-0.147901
742.000000;0.620130;-0.151980
743.000000;0.622051;-0.149782
744.000000;0.622997;-0.148962
745.000000;0.620168;-0.149947
746.000000;0.620577;-0.148340
747.000000;0.622020;-0.148273
748.000000;0.621517;-0.148333
749.000000;0.620652;-0.147954
750.000000;0.622121;-0.145549
751.000000;0.621386;-0.146016
752.000000;0.620191;-0.144840
753.000000;0.619206;-0.144335
754.000000;0.617596;-0.144923
755.000000;0.620633;-0.144583
756.000000;0.619966;-0.143293
757.000000;0.621004;-0.143480
758.000000;0.620847;-0.145356
759.000000;0.621262;-0.145694
760.000000;0.623331;-0.145629
761.000000;0.622866;-0.146689
762.000000;0.617612;-0.146995
763.000000;0.620963;-0.144790
764.000000;0.620752;-0.144915
765.000000;0.620342;-0.144641
766.000000;0.620118;-0.141257
767.000000;0.617171;-0.144845
768.000000;0.618735;-0.145951
769.000000;0.619087;-0.146392
770.000000;0.618183;-0.145096
771.000000;0.619724;-0.143338
772.000000;0.620348;-0.143880
773.000000;0.617756;-0.147134
774.000000;0.618680;-0.148003
775.000000;0.615396;-0.143691
776.000000;0.621896;-0.139508
777.000000;0.621083;-0.141616
778.000000;0.624491;-0.141801
779.000000;0.619354;-0.144465
780.000000;0.617898;-0.145537
781.000000;0.619208;-0.143452
782.000000;0.621045;-0.145290
783.000000;0.616386;-0.143254
784.000000;0.614373;-0.143868
785.000000;0.617107;-0.143775
786.000000;0.619189;-0.143706
787.000000;0.619945;-0.146086
788.000000;0.619161;-0.142473
789.000000;0.620464;-0.142421
790.000000;0.620296;-0.142942
791.000000;0.617882;-0.141257
792.000000;0.614835;-0.141340
793.000000;0.618905;-0.141392
794.000000;0.618527;-0.144981
795.000000;0.618053;-0.140537
796.000000;0.619554;-0.144445
797.000000;0.621451;-0.142262
798.000000;0.619581;-0.143530
799.000000;0.612506;-0.139740
800.000000;0.617081;-0.139305
801.000000;0.619160;-0.143104
802.000000;0.620584;-0.140985
803.000000;0.621274;-0.138925
804.000000;0.616904;-0.141333
805.000000;0.620532;-0.140257
806.000000;0.620886;-0.139923
807.000000;0.621523;-0.142166
808.000000;0.621465;-0.142466
809.000000;0.620811;-0.143387
810.000000;0.618518;-0.140017
811.000000;0.620164;-0.135812
812.000000;0.620062;-0.137560
813.000000;0.617339;-0.142054
814.000000;0.614597;-0.141419
815.000000;0.619092;-0.139230
816.000000;0.619524;-0.141102
817.000000;0.621815;-0.137838
818.000000;0.620057;-0.137783
819.000000;0.615752;-0.134708
820.000000;0.615015;-0.137779
821.000000;0.616481;-0.137613
822.000000;0.620148;-0.135330
823.000000;0.620287;-0.136795
824.000000;0.618680;-0.136923
825.000000;0.617175;-0.145884
826.000000;0.617703;-0.149803
827.000000;0.615346;-0.144815
828.000000;0.617637;-0.140217
829.000000;0.617527;-0.137072
830.000000;0.620680;-0.136461
831.000000;0.619747;-0.140612
832.000000;0.616234;-0.142003
833.000000;0.608160;-0.143147
834.000000;0.616536;-0.140985
835.000000;0.620524;-0.136226
836.000000;0.615435;-0.134964
837.000000;0.614405;-0.136781
838.000000;0.619159;-0.139415
839.000000;0.613964;-0.135590
840.000000;0.609336;-0.136089
841.000000;0.614088;-0.138609
842.000000;0.613487;-0.135105
843.000000;0.616688;-0.130085
844.000000;0.619594;-0.137769
845.000000;0.616745;-0.140375
846.000000;0.618002;-0.141198
847.000000;0.624360;-0.140994
