frequency f in Hz; re(r) ; im(r)
361.000000;0.745020;-0.351803
362.000000;0.741801;-0.352901
363.000000;0.739796;-0.345416
364.000000;0.735034;-0.334769
365.000000;0.722971;-0.346903
366.000000;0.712812;-0.349016
367.000000;0.710476;-0.350685
368.000000;0.726739;-0.357129
369.000000;0.727528;-0.356230
370.000000;0.733816;-0.339120
371.000000;0.725941;-0.347409
372.000000;0.711379;-0.348129
373.000000;0.710141;-0.354846
374.000000;0.697474;-0.354629
375.000000;0.710529;-0.355230
376.000000;0.714124;-0.331865
377.000000;0.726535;-0.335419
378.000000;0.743027;-0.347829
379.000000;0.728250;-0.340225
380.000000;0.710690;-0.350716
381.000000;0.725059;-0.361358
382.000000;0.722762;-0.361632
383.000000;0.695931;-0.359003
384.000000;0.698469;-0.370233
385.000000;0.678740;-0.369592
386.000000;0.689880;-0.343534
387.000000;0.704937;-0.353018
388.000000;0.696547;-0.352698
389.000000;0.682202;-0.343370
390.000000;0.688257;-0.358617
391.000000;0.702042;-0.362214
392.000000;0.712762;-0.359927
393.000000;0.715278;-0.353519
394.000000;0.743313;-0.352982
395.000000;0.735034;-0.353549
396.000000;0.712818;-0.349858
397.000000;0.724225;-0.342987
398.000000;0.725950;-0.348150
399.000000;0.705446;-0.351236
400.000000;0.682593;-0.356545
401.000000;0.707542;-0.381634
402.000000;0.711610;-0.368332
403.000000;0.693429;-0.364577
404.000000;0.668543;-0.358577
405.000000;0.671784;-0.352853
406.000000;0.697311;-0.380755
407.000000;0.702940;-0.373082
408.000000;0.671166;-0.350961
409.000000;0.685443;-0.364161
410.000000;0.696101;-0.361166
411.000000;0.697040;-0.342594
412.000000;0.710567;-0.368528
413.000000;0.695516;-0.358558
414.000000;0.678579;-0.345613
415.000000;0.696124;-0.364641
416.000000;0.692505;-0.365813
417.000000;0.681587;-0.351525
418.000000;0.682722;-0.348735
419.000000;0.682070;-0.341322
420.000000;0.680135;-0.378320
421.000000;0.687162;-0.391834
422.000000;0.697387;-0.372766
423.000000;0.690788;-0.375586
424.000000;0.682315;-0.365788
425.000000;0.661697;-0.360345
426.000000;0.670200;-0.360534
427.000000;0.676933;-0.360808
428.000000;0.682040;-0.352755
429.000000;0.686666;-0.359732
430.000000;0.671510;-0.366388
431.000000;0.653394;-0.363725
432.000000;0.657065;-0.355040
433.000000;0.685445;-0.369509
434.000000;0.687499;-0.370192
435.000000;0.668324;-0.367102
436.000000;0.686453;-0.363355
437.000000;0.668542;-0.357644
438.000000;0.652480;-0.360041
439.000000;0.668164;-0.352479
440.000000;0.674825;-0.358997
441.000000;0.664982;-0.371684
442.000000;0.645355;-0.358914
443.000000;0.644913;-0.344956
444.000000;0.631173;-0.361695
445.000000;0.657520;-0.382205
446.000000;0.678046;-0.378808
447.000000;0.673017;-0.365351
448.000000;0.670092;-0.361444
449.000000;0.662264;-0.372507
450.000000;0.652053;-0.359128
451.000000;0.661501;-0.352488
452.000000;0.662929;-0.354822
453.000000;0.654508;-0.353262
454.000000;0.646195;-0.349103
455.000000;0.652484;-0.362058
456.000000;0.657691;-0.367225
457.000000;0.656314;-0.358627
458.000000;0.654315;-0.360058
459.000000;0.653485;-0.352398
460.000000;0.647934;-0.341076
