Frequency in Hz	Silk_96 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_96 Sound Reflection Factor continuous Im	
1125	0,22984516620636	1125	-0,192268550395966	
1128,125	0,23065197467804	1128,125	-0,1900335252285	
1131,25	0,233875572681427	1131,25	-0,186717137694359	
1134,375	0,235383078455925	1134,375	-0,185677379369736	
1137,5	0,236458986997604	1137,5	-0,184034869074821	
1140,625	0,238466486334801	1140,625	-0,182084038853645	
1143,75	0,240823671221733	1143,75	-0,180608406662941	
1146,875	0,242301240563393	1146,875	-0,178690940141678	
1150	0,243813410401344	1150	-0,176392257213593	
1153,125	0,245950073003769	1153,125	-0,175899803638458	
1156,25	0,248021498322487	1156,25	-0,174820646643639	
1159,375	0,249771475791931	1159,375	-0,172333136200905	
1162,5	0,252016454935074	1162,5	-0,171232163906097	
1165,625	0,25391012430191	1165,625	-0,169510275125504	
1168,75	0,254804968833923	1168,75	-0,168773576617241	
1171,875	0,256715357303619	1171,875	-0,168020769953728	
1175	0,257458716630936	1175	-0,166453629732132	
1178,125	0,259232133626938	1178,125	-0,165062502026558	
1181,25	0,260398328304291	1181,25	-0,164026647806168	
1184,375	0,262024074792862	1184,375	-0,162868335843086	
1187,5	0,263035774230957	1187,5	-0,161802768707275	
1190,625	0,264439612627029	1190,625	-0,161196142435074	
1193,75	0,266292482614517	1193,75	-0,160712048411369	
1196,875	0,266719251871109	1196,875	-0,159667670726776	
1200	0,267868757247925	1200	-0,159554824233055	
1203,125	0,269717127084732	1203,125	-0,157221987843513	
1206,25	0,269997775554657	1206,25	-0,156837821006775	
1209,375	0,27078253030777	1209,375	-0,15666551887989	
1212,5	0,271409183740616	1212,5	-0,155406296253204	
1215,625	0,273411452770233	1215,625	-0,154108121991158	
1218,75	0,274944514036179	1218,75	-0,154787555336952	
1221,875	0,275631815195084	1221,875	-0,154016703367233	
1225	0,277574151754379	1225	-0,152314454317093	
1228,125	0,277859300374985	1228,125	-0,152667760848999	
1231,25	0,278550624847412	1231,25	-0,151547759771347	
1234,375	0,27980238199234	1234,375	-0,151323691010475	
1237,5	0,281852692365646	1237,5	-0,151054546236992	
1240,625	0,281804859638214	1240,625	-0,150749146938324	
1243,75	0,281764984130859	1243,75	-0,149871364235878	
1246,875	0,282718271017075	1246,875	-0,149100750684738	
1250	0,282446354627609	1250	-0,148518696427345	
1253,125	0,28365495800972	1253,125	-0,147443369030952	
1256,25	0,28469529747963	1256,25	-0,14676608145237	
1259,375	0,285087734460831	1259,375	-0,146138295531273	
1262,5	0,286382615566254	1262,5	-0,146031603217125	
1265,625	0,287476152181625	1265,625	-0,145567208528519	
1268,75	0,288457453250885	1268,75	-0,145589157938957	
1271,875	0,288515448570251	1271,875	-0,145333409309387	
1275	0,289243668317795	1275	-0,145142063498497	
1278,125	0,290022075176239	1278,125	-0,144731909036636	
1281,25	0,290905773639679	1281,25	-0,144691497087479	
1284,375	0,291679710149765	1284,375	-0,143730387091637	
1287,5	0,292638808488846	1287,5	-0,1430933624506	
1290,625	0,293507218360901	1290,625	-0,143945142626762	
1293,75	0,293795883655548	1293,75	-0,143191397190094	
1296,875	0,293716162443161	1296,875	-0,142822980880737	
1300	0,295588314533234	1300	-0,142883151769638	
1303,125	0,295829713344574	1303,125	-0,143004924058914	
1306,25	0,295833855867386	1306,25	-0,142140328884125	
1309,375	0,296528935432434	1309,375	-0,142647087574005	
1312,5	0,297363817691803	1312,5	-0,14272353053093	
1315,625	0,298150420188904	1315,625	-0,142479300498962	
1318,75	0,297677129507065	1318,75	-0,142408922314644	
1321,875	0,297830432653427	1321,875	-0,141778632998466	
1325	0,298087000846863	1325	-0,141946196556091	
1328,125	0,298747897148132	1328,125	-0,142518699169159	
1331,25	0,298554271459579	1331,25	-0,142288267612457	
1334,375	0,298832684755325	1334,375	-0,142900109291077	
1337,5	0,299193024635315	1337,5	-0,142302855849266	
1340,625	0,298797756433487	1340,625	-0,142025247216225	
1343,75	0,299136370420456	1343,75	-0,141507521271706	
1346,875	0,298526525497437	1346,875	-0,141794845461845	
1350	0,298943251371384	1350	-0,141801685094833	
1353,125	0,29927334189415	1353,125	-0,14150807261467	
1356,25	0,299300909042358	1356,25	-0,142676219344139	
1359,375	0,298424512147903	1359,375	-0,141475990414619	
1362,5	0,298072576522827	1362,5	-0,141493871808052	
1365,625	0,298008680343628	1365,625	-0,141178101301193	
1368,75	0,297831386327744	1368,75	-0,140504568815231	
1371,875	0,297177284955978	1371,875	-0,140338838100433	
1375	0,297444254159927	1375	-0,140109568834305	
1378,125	0,297648221254349	1378,125	-0,13950315117836	
1381,25	0,296494215726852	1381,25	-0,139847636222839	
1384,375	0,29642978310585	1384,375	-0,138952881097794	
1387,5	0,296415954828262	1387,5	-0,137133061885834	
1390,625	0,295875072479248	1390,625	-0,136263743042946	
1393,75	0,295157134532928	1393,75	-0,135417088866234	
1396,875	0,295129537582397	1396,875	-0,134980604052544	
1400	0,295521527528763	1400	-0,133692070841789	
1403,125	0,296139180660248	1403,125	-0,133073374629021	
1406,25	0,296468168497086	1406,25	-0,132626816630363	
1409,375	0,296429604291916	1409,375	-0,131733402609825	
1412,5	0,296920269727707	1412,5	-0,130626156926155	
1415,625	0,297566741704941	1415,625	-0,130507409572601	
1418,75	0,298418879508972	1418,75	-0,130414947867393	
1421,875	0,298702478408813	1421,875	-0,129990190267563	
1425	0,299420028924942	1425	-0,129520684480667	
1428,125	0,299050748348236	1428,125	-0,130311101675034	
1431,25	0,299168199300766	1431,25	-0,129228487610817	
1434,375	0,299022674560547	1434,375	-0,12875734269619	
1437,5	0,298239290714264	1437,5	-0,128405466675758	
1440,625	0,299768030643463	1440,625	-0,12763500213623	
1443,75	0,29896679520607	1443,75	-0,128513470292091	
1446,875	0,299105316400528	1446,875	-0,127361640334129	
1450	0,298783391714096	1450	-0,126909628510475	
1453,125	0,29878631234169	1453,125	-0,126515358686447	
1456,25	0,298639118671417	1456,25	-0,126659587025642	
1459,375	0,298807114362717	1459,375	-0,125905439257622	
1462,5	0,29844856262207	1462,5	-0,125109374523163	
1465,625	0,298852115869522	1465,625	-0,125575438141823	
1468,75	0,298201769590378	1468,75	-0,125607013702393	
1471,875	0,29771289229393	1471,875	-0,125071063637733	
1475	0,298349142074585	1475	-0,124490603804588	
1478,125	0,297864854335785	1478,125	-0,124133117496967	
1481,25	0,297215044498444	1481,25	-0,122862808406353	
1484,375	0,296034872531891	1484,375	-0,122908763587475	
1487,5	0,296783715486526	1487,5	-0,123056255280972	
1490,625	0,296552985906601	1490,625	-0,122202157974243	
1493,75	0,296347439289093	1493,75	-0,121986158192158	
1496,875	0,296901226043701	1496,875	-0,120879270136356	
1500	0,295514464378357	1500	-0,120182208716869	
1503,125	0,295351564884186	1503,125	-0,118833132088184	
1506,25	0,295580446720123	1506,25	-0,117564283311367	
1509,375	0,295019060373306	1509,375	-0,117855340242386	
1512,5	0,295019119977951	1512,5	-0,116648323833942	
1515,625	0,295523345470428	1515,625	-0,115607611835003	
1518,75	0,295328855514526	1518,75	-0,114338114857674	
1521,875	0,295780807733536	1521,875	-0,113277770578861	
1525	0,296058744192123	1525	-0,112995944917202	
1528,125	0,296067595481873	1528,125	-0,111470989882946	
1531,25	0,296502292156219	1531,25	-0,110851660370827	
1534,375	0,296418935060501	1534,375	-0,109813384711742	
1537,5	0,297150701284409	1537,5	-0,109756819903851	
1540,625	0,297777324914932	1540,625	-0,108507610857487	
1543,75	0,297774076461792	1543,75	-0,108938165009022	
1546,875	0,298579722642899	1546,875	-0,107574924826622	
1550	0,298983603715897	1550	-0,107480809092522	
1553,125	0,299648314714432	1553,125	-0,106899201869965	
1556,25	0,299478560686111	1556,25	-0,106561399996281	
1559,375	0,30030557513237	1559,375	-0,106265254318714	
1562,5	0,300858974456787	1562,5	-0,105855412781239	
1565,625	0,300414890050888	1565,625	-0,105191715061665	
1568,75	0,301375329494476	1568,75	-0,105401262640953	
1571,875	0,301108568906784	1571,875	-0,104944512248039	
1575	0,30179950594902	1575	-0,104391992092133	
1578,125	0,301855683326721	1578,125	-0,104511924088001	
1581,25	0,302442371845245	1581,25	-0,104751773178577	
1584,375	0,302460551261902	1584,375	-0,103497579693794	
1587,5	0,302733838558197	1587,5	-0,103968992829323	
1590,625	0,303087145090103	1590,625	-0,10380394756794	
1593,75	0,303332149982452	1593,75	-0,104215547442436	
1596,875	0,30332425236702	1596,875	-0,103423073887825	
1600	0,303216457366943	1600	-0,103427872061729	
1603,125	0,303545325994492	1603,125	-0,103285007178783	
1606,25	0,304033190011978	1606,25	-0,103274181485176	
1609,375	0,302600830793381	1609,375	-0,102322712540627	
1612,5	0,301290988922119	1612,5	-0,101830914616585	
1615,625	0,301966965198517	1615,625	-0,101892255246639	
1618,75	0,30267071723938	1618,75	-0,102264769375324	
1621,875	0,302356213331223	1621,875	-0,101301670074463	
1625	0,301889777183533	1625	-0,101273506879807	
1628,125	0,302097469568253	1628,125	-0,100398570299149	
1631,25	0,301200330257416	1631,25	-0,100797265768051	
1634,375	0,30209481716156	1634,375	-0,100014418363571	
1637,5	0,301586031913757	1637,5	-0,0998372286558151	
1640,625	0,300751298666	1640,625	-0,0975549519062042	
1643,75	0,298879474401474	1643,75	-0,0996856018900871	
1646,875	0,300540864467621	1646,875	-0,0982110351324081	
1650	0,301008492708206	1650	-0,0984373465180397	
1653,125	0,300238847732544	1653,125	-0,0977321714162827	
1656,25	0,300217002630234	1656,25	-0,0972457379102707	
1659,375	0,300015062093735	1659,375	-0,0962921306490898	
1662,5	0,299938470125198	1662,5	-0,095669612288475	
1665,625	0,299786150455475	1665,625	-0,0958577916026115	
1668,75	0,300330430269241	1668,75	-0,0944556444883347	
1671,875	0,300411939620972	1671,875	-0,0940456464886665	
1675	0,299514412879944	1675	-0,0931777507066727	
1678,125	0,299786925315857	1678,125	-0,0933891907334328	
1681,25	0,300626784563065	1681,25	-0,0915136188268662	
1684,375	0,298842221498489	1684,375	-0,0912817567586899	
1687,5	0,299109429121017	1687,5	-0,0912844389677048	
1690,625	0,299364477396011	1690,625	-0,0908547788858414	
1693,75	0,298502177000046	1693,75	-0,0889241471886635	
1696,875	0,298917055130005	1696,875	-0,0891081839799881	
1700	0,29987159371376	1700	-0,0887264162302017	
1703,125	0,300174921751022	1703,125	-0,0881099924445152	
1706,25	0,300036489963531	1706,25	-0,0877590999007225	
1709,375	0,299414336681366	1709,375	-0,0867632627487183	
1712,5	0,299695312976837	1712,5	-0,0855247229337692	
1715,625	0,299624770879745	1715,625	-0,0848761051893234	
1718,75	0,300976634025574	1718,75	-0,0851951315999031	
1721,875	0,30092990398407	1721,875	-0,0852444097399712	
1725	0,299868613481522	1725	-0,0855135768651962	
1728,125	0,30097559094429	1728,125	-0,0839160159230232	
