Frequency in Hz	Acrylic_99 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_99 Sound Absorption Coefficient continuous	
		1725	0,5346809731179	
		1728,125	0,535332145467181	
		1731,25	0,538873306572409	
		1734,375	0,540168218229152	
		1737,5	0,536359732861758	
		1740,625	0,531451005626837	
		1743,75	0,540093041217194	
		1746,875	0,543046179309626	
		1750	0,541633275787462	
		1753,125	0,543291281146951	
		1756,25	0,543001299203486	
		1759,375	0,544513443638384	
		1762,5	0,544508138404776	
		1765,625	0,547406378253915	
		1768,75	0,54471091593689	
		1771,875	0,548424590630555	
		1775	0,551517896373401	
		1778,125	0,550010908466164	
		1781,25	0,547893529084132	
		1784,375	0,5530124254705	
		1787,5	0,55432052331161	
		1790,625	0,553656106778692	
		1793,75	0,551983657447623	
		1796,875	0,551592197056838	
		1800	0,552260530031875	
		1803,125	0,555359785778482	
		1806,25	0,556378763765577	
		1809,375	0,557695090257806	
		1812,5	0,557234044412368	
		1815,625	0,557005047585988	
		1818,75	0,560195955894905	
		1821,875	0,56039974798591	
		1825	0,558549348827365	
		1828,125	0,56129660796017	
		1831,25	0,562520500649359	
		1834,375	0,560348279638886	
		1837,5	0,569093513022392	
		1840,625	0,56894357027894	
		1843,75	0,569122687204388	
		1846,875	0,567809789260496	
		1850	0,561859034484297	
		1853,125	0,566475629756007	
		1856,25	0,570745757887753	
		1859,375	0,569588723577533	
		1862,5	0,568701523708201	
		1865,625	0,569684944863837	
		1868,75	0,569792215404814	
		1871,875	0,571077023425637	
		1875	0,572253870123605	
		1878,125	0,575579535092935	
		1881,25	0,573177527532654	
		1884,375	0,575396772885979	
		1887,5	0,57525028336472	
		1890,625	0,570578143741921	
		1893,75	0,574823636374576	
		1896,875	0,577140645787348	
		1900	0,578386796954242	
		1903,125	0,578289855882082	
		1906,25	0,577278748346604	
		1909,375	0,578628117845015	
		1912,5	0,582892616619487	
		1915,625	0,585192719054232	
		1918,75	0,582144614727769	
		1921,875	0,585118750989834	
		1925	0,585462215220287	
		1928,125	0,585205409572797	
		1931,25	0,584402691049878	
		1934,375	0,58393977190375	
		1937,5	0,583548789958788	
		1940,625	0,582095628148613	
		1943,75	0,589755386426525	
		1946,875	0,593508860079231	
		1950	0,590227329345075	
		1953,125	0,594035415575477	
		1956,25	0,593386027772762	
		1959,375	0,590665929066256	
		1962,5	0,5935384709526	
		1965,625	0,596680811757281	
		1968,75	0,59351565175933	
		1971,875	0,590316861363487	
		1975	0,596511850594249	
		1978,125	0,595636557562646	
		1981,25	0,596277882099224	
		1984,375	0,599040344059471	
		1987,5	0,594155073089491	
		1990,625	0,59161096510819	
		1993,75	0,595225712388895	
		1996,875	0,594545482348514	
		2000	0,592237398983707	
		2003,125	0,594925240326365	
		2006,25	0,596568739661125	
		2009,375	0,602276201482599	
		2012,5	0,601647348985395	
		2015,625	0,599772253506695	
		2018,75	0,60058357389324	
		2021,875	0,605276424012977	
		2025	0,60778195029245	
		2028,125	0,610178830887555	
		2031,25	0,604511887222554	
		2034,375	0,603352799846031	
		2037,5	0,608338767077595	
		2040,625	0,611412534789576	
		2043,75	0,611078024729741	
		2046,875	0,611794157670374	
		2050	0,611071482592814	
		2053,125	0,60883999181169	
		2056,25	0,615736093751358	
		2059,375	0,611001106160661	
		2062,5	0,61118877253819	
		2065,625	0,613422512493808	
		2068,75	0,614135796665349	
		2071,875	0,614052823159	
		2075	0,613154383112831	
		2078,125	0,616893828613935	
		2081,25	0,615964583177127	
		2084,375	0,61789526512248	
		2087,5	0,61644776929486	
		2090,625	0,617610229681439	
		2093,75	0,61854863029205	
		2096,875	0,618709634697441	
		2100	0,620387301020141	
		2103,125	0,617768436640704	
		2106,25	0,618902873736453	
		2109,375	0,618717541623457	
		2112,5	0,623796839805556	
		2115,625	0,621637213186264	
		2118,75	0,620847741365036	
		2121,875	0,621426526966096	
		2125	0,620920934533476	
		2128,125	0,620608937374419	
		2131,25	0,623786481824922	
		2134,375	0,62560607624909	
		2137,5	0,625209527154926	
		2140,625	0,626838376733933	
		2143,75	0,625704458746982	
		2146,875	0,624687295063682	
		2150	0,627109327782647	
		2153,125	0,626199086028037	
		2156,25	0,627358831112599	
		2159,375	0,627182541607457	
		2162,5	0,630432543294023	
		2165,625	0,632794230169462	
		2168,75	0,628039657577275	
		2171,875	0,630662497078048	
		2175	0,634219841277562	
		2178,125	0,631197922773575	
		2181,25	0,633418891153467	
		2184,375	0,631647988059159	
		2187,5	0,632824415496015	
		2190,625	0,632120568448654	
		2193,75	0,634231326425934	
		2196,875	0,634040762484459	
		2200	0,635109078405236	
		2203,125	0,636208384425148	
		2206,25	0,637159109983234	
		2209,375	0,634614057882329	
		2212,5	0,634124103890894	
		2215,625	0,636233816144244	
		2218,75	0,637331072834152	
		2221,875	0,635500199200515	
		2225	0,63488572782031	
		2228,125	0,6357045364388	
		2231,25	0,637470765509244	
		2234,375	0,63831802442416	
		2237,5	0,639727493915313	
		2240,625	0,643376770134437	
		2243,75	0,640789607313993	
		2246,875	0,640246801125905	
		2250	0,641279885161016	
		2253,125	0,641021519097036	
		2256,25	0,641230211803255	
		2259,375	0,643658552498067	
		2262,5	0,641827957769336	
		2265,625	0,645200981703964	
		2268,75	0,643219753141548	
		2271,875	0,645775129703418	
		2275	0,644881351630803	
		2278,125	0,645363355553247	
		2281,25	0,646666071930669	
		2284,375	0,64678915591287	
		2287,5	0,648284002017223	
		2290,625	0,64616470056959	
		2293,75	0,647425813869323	
		2296,875	0,647572365300793	
		2300	0,647885999192637	
		2303,125	0,648587191040273	
		2306,25	0,649406707922411	
		2309,375	0,64934308897175	
		2312,5	0,647901644696916	
		2315,625	0,651182567296429	
		2318,75	0,654770287433571	
		2321,875	0,653406103338723	
		2325	0,651045648647659	
		2328,125	0,65126364028763	
		2331,25	0,650943698792069	
		2334,375	0,655062285689487	
		2337,5	0,654833327866411	
		2340,625	0,652988382645573	
		2343,75	0,648254830308721	
		2346,875	0,653339585857418	
		2350	0,653169725167692	
		2353,125	0,653673306710265	
		2356,25	0,655094060921097	
		2359,375	0,651667667933783	
		2362,5	0,654807520517787	
		2365,625	0,6596951523789	
		2368,75	0,655043332175758	
		2371,875	0,657104403512701	
		2375	0,659159874280652	
		2378,125	0,657818347001104	
		2381,25	0,657103291090826	
		2384,375	0,661548196648	
		2387,5	0,657145081314849	
		2390,625	0,659282570279179	
		2393,75	0,656862353883627	
		2396,875	0,656820672218862	
		2400	0,661780941679726	
		2403,125	0,661204657770527	
		2406,25	0,662403598153702	
		2409,375	0,663874408797885	
		2412,5	0,662759426291571	
		2415,625	0,66012006979057	
		2418,75	0,661751681536315	
		2421,875	0,658798390393551	
		2425	0,658037103498844	
		2428,125	0,661635312343624	
		2431,25	0,664536688023056	
		2434,375	0,663733125249106	
		2437,5	0,661873489891727	
		2440,625	0,662863578664363	
		2443,75	0,661941003715271	
		2446,875	0,662148158030101	
		2450	0,661654761897314	
		2453,125	0,661543090183758	
		2456,25	0,665440885529307	
		2459,375	0,665086672791542	
		2462,5	0,663062146925417	
		2465,625	0,664038609684103	
		2468,75	0,66962131079262	
		2471,875	0,666631747013055	
		2475	0,666552813558797	
		2478,125	0,665812669014622	
		2481,25	0,664637216991181	
		2484,375	0,667526255818666	
		2487,5	0,668722564920561	
		2490,625	0,66452075560534	
		2493,75	0,665799358989855	
		2496,875	0,665038725821156	
		2500	0,667051716491235	
		2503,125	0,669884366591771	
		2506,25	0,669805227959022	
		2509,375	0,668919274686675	
		2512,5	0,669010309373567	
		2515,625	0,669022134340533	
		2518,75	0,669495801360841	
		2521,875	0,67081122087776	
		2525	0,667999559045942	
		2528,125	0,668560264842865	
		2531,25	0,670281382036534	
		2534,375	0,672104577513773	
		2537,5	0,671681048043409	
		2540,625	0,672030331560829	
		2543,75	0,670855026268088	
		2546,875	0,670743896393087	
		2550	0,672879572806715	
