Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Im	
971,875	0,422159910202026	971,875	-1,93020117282867	
975	0,425092697143555	975	-1,91573989391327	
978,125	0,419098943471909	978,125	-1,91789638996124	
981,25	0,424373954534531	981,25	-1,90154874324799	
984,375	0,416257619857788	984,375	-1,90030074119568	
987,5	0,415229082107544	987,5	-1,89929437637329	
990,625	0,417201697826386	990,625	-1,88543021678925	
993,75	0,404702097177505	993,75	-1,88142800331116	
996,875	0,414281219244003	996,875	-1,87385952472687	
1000	0,415128290653229	1000	-1,86364495754242	
1003,125	0,413353115320206	1003,125	-1,86124515533447	
1006,25	0,418814897537231	1006,25	-1,8505871295929	
1009,375	0,414542764425278	1009,375	-1,84631454944611	
1012,5	0,406833648681641	1012,5	-1,83957207202911	
1015,625	0,42484238743782	1015,625	-1,83694231510162	
1018,75	0,412872433662415	1018,75	-1,81361615657806	
1021,875	0,41162970662117	1021,875	-1,81835949420929	
1025	0,407227247953415	1025	-1,80678761005402	
1028,125	0,412252694368362	1028,125	-1,80269420146942	
1031,25	0,407300770282745	1031,25	-1,79737269878387	
1034,375	0,406854629516602	1034,375	-1,79404306411743	
1037,5	0,406112283468246	1037,5	-1,77561926841736	
1040,625	0,406020671129227	1040,625	-1,77458429336548	
1043,75	0,407079637050629	1043,75	-1,76688146591187	
1046,875	0,403282850980759	1046,875	-1,7663277387619	
1050	0,402298003435135	1050	-1,75529086589813	
1053,125	0,394265681505203	1053,125	-1,75587153434753	
1056,25	0,391577631235123	1056,25	-1,74087631702423	
1059,375	0,402303695678711	1059,375	-1,73599863052368	
1062,5	0,399553090333939	1062,5	-1,73446440696716	
1065,625	0,395397394895554	1065,625	-1,7175018787384	
1068,75	0,398691356182098	1068,75	-1,71403229236603	
1071,875	0,396060794591904	1071,875	-1,71218144893646	
1075	0,397219240665436	1075	-1,70262742042542	
1078,125	0,395384550094604	1078,125	-1,69627809524536	
1081,25	0,399300187826157	1081,25	-1,69553935527802	
1084,375	0,397629290819168	1084,375	-1,68544113636017	
1087,5	0,396839648485184	1087,5	-1,67310869693756	
1090,625	0,398464292287827	1090,625	-1,66990280151367	
1093,75	0,397448271512985	1093,75	-1,66560053825378	
1096,875	0,392916411161423	1096,875	-1,65602171421051	
1100	0,392923176288605	1100	-1,65487945079803	
1103,125	0,389159202575684	1103,125	-1,64586317539215	
1106,25	0,404904127120972	1106,25	-1,63332176208496	
1109,375	0,39919438958168	1109,375	-1,62623000144958	
1112,5	0,388818323612213	1112,5	-1,62977004051208	
1115,625	0,393211781978607	1115,625	-1,62519729137421	
1118,75	0,392903566360474	1118,75	-1,61449944972992	
1121,875	0,391055703163147	1121,875	-1,61097645759583	
1125	0,390545696020126	1125	-1,61056089401245	
1128,125	0,393682986497879	1128,125	-1,60206305980682	
1131,25	0,387732654809952	1131,25	-1,58994734287262	
1134,375	0,391091763973236	1134,375	-1,5870213508606	
1137,5	0,384256035089493	1137,5	-1,5771290063858	
1140,625	0,378943502902985	1140,625	-1,5761890411377	
1143,75	0,37821227312088	1143,75	-1,56199157238007	
1146,875	0,371662139892578	1146,875	-1,56249487400055	
1150	0,374486804008484	1150	-1,56837284564972	
1153,125	0,377070546150208	1153,125	-1,55998945236206	
1156,25	0,382423937320709	1156,25	-1,55133712291718	
1159,375	0,379180520772934	1159,375	-1,54186153411865	
1162,5	0,379716664552689	1162,5	-1,53578853607178	
1165,625	0,383233428001404	1165,625	-1,52941393852234	
1168,75	0,371063381433487	1168,75	-1,53117346763611	
1171,875	0,366407811641693	1171,875	-1,52260184288025	
1175	0,369804859161377	1175	-1,52543699741364	
1178,125	0,368987500667572	1178,125	-1,5165022611618	
1181,25	0,370486617088318	1181,25	-1,50878572463989	
1184,375	0,370449215173721	1184,375	-1,4977114200592	
1187,5	0,369677513837814	1187,5	-1,4979339838028	
1190,625	0,372861564159393	1190,625	-1,4884637594223	
1193,75	0,380973875522614	1193,75	-1,48379039764404	
1196,875	0,380671322345734	1196,875	-1,46843874454498	
1200	0,368636071681976	1200	-1,4612820148468	
1203,125	0,371262043714523	1203,125	-1,45480167865753	
1206,25	0,372530698776245	1206,25	-1,46312439441681	
1209,375	0,379413515329361	1209,375	-1,46631252765656	
1212,5	0,373115390539169	1212,5	-1,45126366615295	
1215,625	0,364093452692032	1215,625	-1,44355392456055	
1218,75	0,358358830213547	1218,75	-1,43751537799835	
1221,875	0,363911718130112	1221,875	-1,42704176902771	
1225	0,361520111560822	1225	-1,42380690574646	
1228,125	0,372292041778564	1228,125	-1,43048000335693	
1231,25	0,365880310535431	1231,25	-1,43406558036804	
1234,375	0,368102192878723	1234,375	-1,41845560073853	
1237,5	0,365611344575882	1237,5	-1,40581059455872	
1240,625	0,356675505638123	1240,625	-1,39782977104187	
1243,75	0,364024966955185	1243,75	-1,39499855041504	
1246,875	0,359846025705338	1246,875	-1,39354240894318	
1250	0,363583087921143	1250	-1,38336110115051	
1253,125	0,367124229669571	1253,125	-1,38449418544769	
1256,25	0,363337248563766	1256,25	-1,38517808914185	
1259,375	0,370270162820816	1259,375	-1,38419365882874	
1262,5	0,374652653932571	1262,5	-1,36495435237885	
1265,625	0,363148808479309	1265,625	-1,36223328113556	
1268,75	0,366335242986679	1268,75	-1,35917842388153	
1271,875	0,366553604602814	1271,875	-1,35315084457397	
1275	0,364118576049805	1275	-1,34627091884613	
1278,125	0,362700343132019	1278,125	-1,35033750534058	
1281,25	0,364555209875107	1281,25	-1,33879089355469	
1284,375	0,362336963415146	1284,375	-1,33760321140289	
1287,5	0,362215936183929	1287,5	-1,33193874359131	
1290,625	0,360178202390671	1290,625	-1,32586061954498	
1293,75	0,361199647188187	1293,75	-1,3264753818512	
1296,875	0,369730085134506	1296,875	-1,31871604919434	
1300	0,366230845451355	1300	-1,30933821201324	
1303,125	0,362605541944504	1303,125	-1,31100451946259	
1306,25	0,364768803119659	1306,25	-1,31008923053741	
1309,375	0,353455156087875	1309,375	-1,29748201370239	
1312,5	0,351640462875366	1312,5	-1,29701900482178	
1315,625	0,356612265110016	1315,625	-1,29044353961945	
1318,75	0,363711774349213	1318,75	-1,28953647613525	
1321,875	0,361457586288452	1321,875	-1,27805542945862	
1325	0,356726467609406	1325	-1,28052163124084	
1328,125	0,362907856702805	1328,125	-1,2751601934433	
1331,25	0,358716666698456	1331,25	-1,26686561107635	
1334,375	0,355441927909851	1334,375	-1,2654322385788	
1337,5	0,354196965694427	1337,5	-1,25843691825867	
1340,625	0,354627788066864	1340,625	-1,25602281093597	
1343,75	0,352943509817123	1343,75	-1,25546884536743	
1346,875	0,351227790117264	1346,875	-1,24661755561829	
1350	0,35626345872879	1350	-1,23960268497467	
1353,125	0,352115631103516	1353,125	-1,23630654811859	
