Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Im	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Im	
1237,5	0,778599381446838	781,25	0,806287348270416	1237,5	0,148791000247002	781,25	-0,0120644085109234	
1240,625	0,781278252601624	784,375	0,807834208011627	1240,625	0,147866353392601	784,375	-0,0147174149751663	
1243,75	0,779424965381622	787,5	0,801584303379059	1243,75	0,147812411189079	787,5	-0,0146879879757762	
1246,875	0,782291054725647	790,625	0,805517196655273	1246,875	0,150234431028366	790,625	-0,011369276791811	
1250	0,777801156044006	793,75	0,804207026958466	1250	0,148328170180321	793,75	-0,00970984809100628	
1253,125	0,777777493000031	796,875	0,805314540863037	1253,125	0,150575205683708	796,875	-0,0119296982884407	
1256,25	0,778668522834778	800	0,806607842445374	1256,25	0,153576523065567	800	-0,0116311525925994	
1259,375	0,776068389415741	803,125	0,802067875862122	1259,375	0,154668584465981	803,125	-0,00491684395819902	
1262,5	0,774125933647156	806,25	0,805110573768616	1262,5	0,149884030222893	806,25	-0,00483038183301687	
1265,625	0,77888149023056	809,375	0,808562636375427	1265,625	0,153749138116837	809,375	-0,00546862091869116	
1268,75	0,776260137557983	812,5	0,807543337345123	1268,75	0,153707101941109	812,5	-0,00760461483150721	
1271,875	0,777330279350281	815,625	0,806469142436981	1271,875	0,154695600271225	815,625	-0,00850556511431932	
1275	0,77998298406601	818,75	0,811377346515656	1275	0,157498627901077	818,75	-0,00705600483343005	
1278,125	0,777910768985748	821,875	0,806471347808838	1278,125	0,160125076770782	821,875	-0,00623072171583772	
1281,25	0,775992631912231	825	0,807825684547424	1281,25	0,158114328980446	825	-0,00818404648452997	
1284,375	0,777963697910309	828,125	0,806666910648346	1284,375	0,160977676510811	828,125	-0,0113199334591627	
1287,5	0,779175996780396	831,25	0,804398953914642	1287,5	0,160757556557655	831,25	-0,0109712239354849	
1290,625	0,779745578765869	834,375	0,806072652339935	1290,625	0,161615327000618	834,375	-0,00627790205180645	
1293,75	0,776911377906799	837,5	0,807445347309113	1293,75	0,162620022892952	837,5	-0,00140543712768704	
1296,875	0,775747239589691	840,625	0,810448825359344	1296,875	0,159298062324524	840,625	-0,00489348592236638	
1300	0,778754234313965	843,75	0,816276669502258	1300	0,161562249064445	843,75	-0,00780977169051766	
1303,125	0,780090868473053	846,875	0,82019978761673	1303,125	0,16468620300293	846,875	-0,00700107123702765	
1306,25	0,779382526874542	850	0,817784190177917	1306,25	0,164472922682762	850	-0,0101144947111607	
1309,375	0,782373547554016	853,125	0,815891861915588	1309,375	0,167117744684219	853,125	-0,0101467939093709	
1312,5	0,783910632133484	856,25	0,813108921051025	1312,5	0,168143525719643	856,25	0,00348419486545026	
1315,625	0,779499053955078	859,375	0,804035604000092	1315,625	0,165487796068192	859,375	0,00312082911841571	
1318,75	0,777185559272766	862,5	0,807671964168549	1318,75	0,167588725686073	862,5	-0,00255340710282326	
1321,875	0,781114995479584	865,625	0,815536379814148	1321,875	0,166114568710327	865,625	-0,00200237426906824	
1325	0,780449330806732	868,75	0,817659080028534	1325	0,171810120344162	868,75	-0,00602462701499462	
1328,125	0,775251984596252	871,875	0,821721494197845	1328,125	0,168941661715508	871,875	-0,00504549033939838	
1331,25	0,779357254505157	875	0,820585250854492	1331,25	0,167907804250717	875	-0,0026937797665596	
1334,375	0,782104849815369	878,125	0,822913587093353	1334,375	0,171756759285927	878,125	-0,00161058432422578	
1337,5	0,784973978996277	881,25	0,819980144500732	1337,5	0,170614570379257	881,25	-0,00337112555280328	
1340,625	0,781869530677795			1340,625	0,170569181442261			
1343,75	0,780535817146301			1343,75	0,171574994921684			
1346,875	0,783327400684357			1346,875	0,172147825360298			
1350	0,781352460384369			1350	0,172799706459045			
1353,125	0,783835470676422			1353,125	0,171771511435509			
1356,25	0,787895977497101			1356,25	0,171155646443367			
1359,375	0,785635769367218			1359,375	0,172307133674622			
1362,5	0,785294353961945			1362,5	0,17307448387146			
1365,625	0,788739621639252			1365,625	0,173691660165787			
1368,75	0,786262392997742			1368,75	0,17335832118988			
1371,875	0,781698763370514			1371,875	0,176190659403801			
1375	0,782779097557068			1375	0,174682766199112			
1378,125	0,785635888576508			1378,125	0,174592688679695			
1381,25	0,784441113471985			1381,25	0,173994079232216			
1384,375	0,782962024211884			1384,375	0,173700779676437			
1387,5	0,783490002155304			1387,5	0,174918755888939			
1390,625	0,783360064029694			1390,625	0,176370427012444			
1393,75	0,783415019512177			1393,75	0,177944675087929			
1396,875	0,782970428466797			1396,875	0,176384553313255			
1400	0,783449590206146			1400	0,176285937428474			
1403,125	0,782645106315613			1403,125	0,177304625511169			
1406,25	0,781767308712006			1406,25	0,179276078939438			
1409,375	0,781391382217407			1409,375	0,178081229329109			
1412,5	0,783185720443726			1412,5	0,17999766767025			
1415,625	0,782423734664917			1415,625	0,180075466632843			
1418,75	0,783507406711578			1418,75	0,179463893175125			
1421,875	0,785244882106781			1421,875	0,180991679430008			
1425	0,782370984554291			1425	0,181793227791786			
1428,125	0,779993951320648			1428,125	0,18103489279747			
1431,25	0,781015038490295			1431,25	0,182318657636642			
1434,375	0,781172931194305			1434,375	0,182301416993141			
1437,5	0,78025895357132			1437,5	0,184440821409225			
