Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
246,875	0,790416598320007	703,125	0,836063861846924	703,125	0,819653153419495	246,875	0,946819424629211	246,875	0,942506611347198	703,125	0,786619782447815	246,875	-0,209918156266212	703,125	0,101544953882694	703,125	-0,549825251102448	246,875	-0,23075820505619	246,875	-0,25404104590416	703,125	-0,602459609508514	
250	0,783765554428101	706,25	0,836814522743225	706,25	0,820983350276947	250	0,94558048248291	250	0,941086709499359	706,25	0,787839353084564	250	-0,208899542689323	706,25	0,104153506457806	706,25	-0,549634099006653	250	-0,232326686382294	250	-0,255843460559845	706,25	-0,602462947368622	
253,125	0,780839800834656	709,375	0,835217654705048	709,375	0,818038582801819	253,125	0,951068103313446	253,125	0,946456372737885	709,375	0,784530162811279	253,125	-0,211236596107483	709,375	0,105524361133575	709,375	-0,550256252288818	253,125	-0,236657425761223	253,125	-0,26064857840538	709,375	-0,602622151374817	
256,25	0,771452665328979	712,5	0,83398848772049	712,5	0,810009717941284	256,25	0,94752049446106	256,25	0,94269210100174	712,5	0,77589750289917	256,25	-0,213432744145393	712,5	0,0952052175998688	712,5	-0,559536635875702	256,25	-0,244121074676514	256,25	-0,268357068300247	712,5	-0,611581444740295	
259,375	0,762683272361755	715,625	0,836005568504334	715,625	0,814620137214661	259,375	0,942951202392578	259,375	0,93805593252182	715,625	0,780585408210754	259,375	-0,206393495202065	715,625	0,100418359041214	715,625	-0,558033585548401	259,375	-0,240054413676262	259,375	-0,264396399259567	715,625	-0,610614657402039	
262,5	0,758307874202728	718,75	0,837206244468689	718,75	0,814834415912628	262,5	0,947090208530426	262,5	0,941999077796936	718,75	0,780942142009735	262,5	-0,210202187299728	718,75	0,0992130488157272	718,75	-0,560868322849274	262,5	-0,247849822044373	262,5	-0,27256715297699	718,75	-0,613331019878387	
265,625	0,752726256847382	721,875	0,834857821464539	721,875	0,810358226299286	265,625	0,950033843517303	265,625	0,944689631462097	721,875	0,776469051837921	265,625	-0,212800517678261	721,875	0,0981317237019539	721,875	-0,56223052740097	265,625	-0,254918903112412	265,625	-0,280068576335907	721,875	-0,614281058311462	
268,75	0,745616614818573	725	0,837688684463501	725	0,812138438224792	268,75	0,947550535202026	268,75	0,942217111587524	725	0,777914226055145	268,75	-0,205362811684608	725	0,0986946523189545	725	-0,566724121570587	268,75	-0,250626802444458	268,75	-0,276009947061539	725	-0,619165301322937	
271,875	0,7348513007164	728,125	0,835548102855682	728,125	0,806711137294769	271,875	0,943757653236389	271,875	0,938023746013641	728,125	0,772345542907715	271,875	-0,206605553627014	728,125	0,0966061130166054	728,125	-0,567605376243591	271,875	-0,259173840284348	271,875	-0,284848511219025	728,125	-0,620112240314484	
275	0,731365621089935	731,25	0,836467087268829	731,25	0,80837082862854	275	0,948633193969727	275	0,942926645278931	731,25	0,773668944835663	275	-0,204578205943108	731,25	0,0973900407552719	731,25	-0,56979912519455	275	-0,260740995407104	275	-0,286758959293365	731,25	-0,622642695903778	
278,125	0,720084846019745	734,375	0,835038006305695	734,375	0,806832134723663	278,125	0,942046940326691	278,125	0,936020731925964	734,375	0,772323906421661	278,125	-0,202416062355042	734,375	0,0966186970472336	734,375	-0,571274697780609	278,125	-0,266429603099823	278,125	-0,292554825544357	734,375	-0,624241769313812	
