Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Im	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Im	
225	3,8334813117981	681,25	7,47293996810913	681,25	0,101707428693771	225	1,04299926757813	225	0,804439246654511	681,25	0,0645865574479103	225	-5,92425012588501	681,25	5,44776630401611	681,25	-3,40679979324341	225	-9,04919528961182	225	-8,24279689788818	681,25	-3,05551218986511	
228,125	3,81336355209351	684,375	7,47406339645386	684,375	0,100361093878746	228,125	1,03928816318512	228,125	0,803194105625153	684,375	0,0632686465978622	228,125	-5,73315095901489	684,375	5,4404730796814	684,375	-3,39763593673706	228,125	-8,88949203491211	228,125	-8,09927082061768	684,375	-3,04733061790466	
231,25	3,82622194290161	687,5	7,4119291305542	687,5	0,0718338117003441	231,25	0,968535661697388	231,25	0,744935095310211	687,5	0,0393845848739147	231,25	-5,62396860122681	687,5	5,64376592636108	687,5	-3,39898872375488	231,25	-8,86736488342285	231,25	-8,06738567352295	687,5	-3,046875	
234,375	3,80850982666016	690,625	7,87542772293091	690,625	0,0780277475714684	234,375	1,0180252790451	234,375	0,793304026126862	690,625	0,0459466874599457	234,375	-5,39417505264282	690,625	5,44215965270996	690,625	-3,31904721260071	234,375	-8,66501712799072	234,375	-7,89119672775269	690,625	-2,98156929016113	
237,5	3,81933403015137	693,75	7,59400224685669	693,75	0,0804232582449913	237,5	0,73117059469223	237,5	0,546177804470062	693,75	0,0474311001598835	237,5	-5,4510555267334	693,75	5,52911567687988	693,75	-3,35004949569702	237,5	-8,83947658538818	237,5	-8,02028846740723	693,75	-3,00565218925476	
240,625	3,52713632583618	696,875	7,58609914779663	696,875	0,0768363922834396	240,625	0,481861263513565	240,625	0,349384933710098	696,875	0,0452264547348022	240,625	-5,21627187728882	696,875	5,58969163894653	696,875	-3,33491897583008	240,625	-8,25788688659668	240,625	-7,51920604705811	696,875	-2,99267196655273	
243,75	3,70000791549683	700	7,69458961486816	700	0,0872961431741714	243,75	0,61136794090271	243,75	0,452868431806564	700	0,0543421544134617	243,75	-5,09262609481812	700	5,46703290939331	700	-3,30159068107605	243,75	-8,41871929168701	243,75	-7,64538955688477	700	-2,96484518051147	
246,875	3,76375532150269	703,125	7,81698656082153	703,125	0,0772353038191795	246,875	0,896680772304535	246,875	0,69491183757782	703,125	0,0447301045060158	246,875	-4,77136468887329	703,125	5,46139907836914	703,125	-3,28417801856995	246,875	-8,22997093200684	246,875	-7,48915910720825	703,125	-2,94970035552979	
250	3,78414082527161	706,25	7,70846176147461	706,25	0,0714920908212662	250	0,911563634872437	250	0,709448099136353	706,25	0,040070079267025	250	-4,62185764312744	706,25	5,55819606781006	706,25	-3,28979778289795	250	-8,16080856323242	250	-7,42364406585693	706,25	-2,95343995094299	
253,125	3,7308201789856	709,375	7,60738134384155	709,375	0,0834522023797035	253,125	0,675719201564789	253,125	0,512433707714081	709,375	0,0521482825279236	253,125	-4,55978059768677	709,375	5,51204919815063	709,375	-3,2763888835907	253,125	-8,10455799102783	253,125	-7,36247539520264	709,375	-2,94262957572937	
