Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient 1/3-octave	
1443,75	0,356607413633803							
1446,875	0,356380974719746							
1450	0,357980486494921							
1453,125	0,357490603066371							
1456,25	0,357327119887174							
1459,375	0,353845475251826							
1462,5	0,356594803633451							
1465,625	0,35701965838614							
1468,75	0,354637744353604							
1471,875	0,354411170535711							
1475	0,353836262969487							
1478,125	0,353376854654254							
1481,25	0,350239699002453							
1484,375	0,351857635155345							
1487,5	0,351721575155436							
1490,625	0,353094444917701							
1493,75	0,353447851380232							
1496,875	0,350384113205241							
1500	0,349601732753551							
1503,125	0,350024628987037							
1506,25	0,355257657825902							
1509,375	0,35322575988981							
1512,5	0,349512781151219							
1515,625	0,347564109692803							
1518,75	0,346814791531693							
1521,875	0,34553060442056							
1525	0,344742341532165							
1528,125	0,346360977181099							
1531,25	0,344636833966255							
1534,375	0,34537596334626							
1537,5	0,344620913273368							
1540,625	0,342038299979262							
1543,75	0,343127889067414							
1546,875	0,342611676118079							
1550	0,339836619863639							
1553,125	0,341348858163423							
1556,25	0,338582256197633							
1559,375	0,340321565221585							
1562,5	0,34021262373264							
1565,625	0,34111122506979							
1568,75	0,341639415934046							
1571,875	0,340503407368523							
1575	0,337946131838519							
1578,125	0,338893573410985							
1581,25	0,33870105389802							
1584,375	0,340698463332975							
1587,5	0,34204896830644							
1590,625	0,339444306979994							
1593,75	0,340068332685974							
1596,875	0,341265120476419							
1600	0,341330639065551							
1603,125	0,341338975531271							
1606,25	0,339263458794546							
1609,375	0,342159900626612							
1612,5	0,342956261291819							
1615,625	0,343333189127813							
1618,75	0,342350705851258							
1621,875	0,342402430767663							
1625	0,348079186954109							
1628,125	0,345421020001502							
1631,25	0,344498965858137							
1634,375	0,341293546698885							
1637,5	0,343297356688641							
1640,625	0,333998841338127							
1643,75	0,331930913802571							
1646,875	0,333489342099227							
1650	0,335280217014954							
1653,125	0,334801363321667							
1656,25	0,332839795290584							
1659,375	0,335759546135552							
1662,5	0,339392391161257							
1665,625	0,337542734370856							
1668,75	0,336942936671375							
1671,875	0,341857711700936							
1675	0,336848811334182							
1678,125	0,336471736917514							
1681,25	0,337674653607767							
1684,375	0,340175572251806							
1687,5	0,342024227875429							
1690,625	0,340575411893807							
1693,75	0,344229419011511							
1696,875	0,349345051835931							
1700	0,348785327542853							
1703,125	0,349975672684986							
1706,25	0,351211788683131							
1709,375	0,355412221607652							
1712,5	0,354906889677843							
1715,625	0,354151366628789							
1718,75	0,354397627739956							
1721,875	0,355082296366689							
1725	0,353820264920408							
1728,125	0,356728686444737							
1731,25	0,36305888778056							
1734,375	0,361375240710599							
1737,5	0,360421317430658							
1740,625	0,356663682280082							
1743,75	0,368822900421017							
1746,875	0,371040409628695							
1750	0,365522615078327							
1753,125	0,368310654779808							
1756,25	0,369585466133806							
1759,375	0,372686123285078							
1762,5	0,368666498194306							
1765,625	0,370121179905161							
1768,75	0,369657810446915							
1771,875	0,376566156141769							
1775	0,376585007551621							
1778,125	0,375592436759211							
1781,25	0,37412378829033							
1784,375	0,378121256895931							
1787,5	0,381520674925698							
1790,625	0,38132654270513							
1793,75	0,377568439839352							
1796,875	0,377480100500642							
1800	0,378627036213584							
1803,125	0,380875640759919							
1806,25	0,380847985838469							
1809,375	0,3812540640184							
1812,5	0,379370171641775							
1815,625	0,376195497010756							
1818,75	0,380409139614989							
1821,875	0,383448952573191							
1825	0,379959294600898							
1828,125	0,382610128625695							
1831,25	0,382201485571224							
1834,375	0,378532704258688							
1837,5	0,386044197446503							
1840,625	0,385950453569001							
1843,75	0,385042111888353							
1846,875	0,38426077441183							
1850	0,378625814766491							
1853,125	0,380039451799474							
1856,25	0,382437711513664							
1859,375	0,380520175083338							
1862,5	0,378750593013663							
1865,625	0,377505010174851							
1868,75	0,375412866178553							
1871,875	0,375993469003728							
1875	0,376459726041901							
1878,125	0,377921083184516							
1881,25	0,375007200791311							
1884,375	0,374725948721229							
1887,5	0,373723393713138							
1890,625	0,369250531899215							
1893,75	0,373605792611268							
1896,875	0,370908844578171							
1900	0,369982645782279							
1903,125	0,369593142854974							
1906,25	0,367478905780088							
1909,375	0,367558681897572							
1912,5	0,367583852388426							
1915,625	0,368357119951276							
1918,75	0,365203029712322							
1921,875	0,367966598311606							
1925	0,366311000872688							
1928,125	0,367655616247434							
1931,25	0,364526389755461							
1934,375	0,361759010912584							
1937,5	0,360470833571671							
1940,625	0,358565164471374							
1943,75	0,360636895480234							
1946,875	0,362526697979812							
1950	0,359819099165354							
1953,125	0,358326699988026							
1956,25	0,357638419004846							
1959,375	0,354619871898304							
1962,5	0,356192474110248							
1965,625	0,358950269401462							
1968,75	0,355813468560098							
1971,875	0,352069424781357							
1975	0,358158939664601							
1978,125	0,356007868571012							
1981,25	0,354220634263869							
1984,375	0,355889475828069							
1987,5	0,351030410297475							
1990,625	0,345656121342081							
1993,75	0,349004343551395							
1996,875	0,350707928313004							
2000	0,348607838609743							
2003,125	0,349291383883076							
2006,25	0,347089126955107							
2009,375	0,350689818078092							
2012,5	0,347979224591695							
2015,625	0,349293199381108							
2018,75	0,348613002073904							
2021,875	0,348832622490163							
2025	0,349164123976877							
2028,125	0,350385668688896							
2031,25	0,3478881670169							
2034,375	0,349053278367961							
2037,5	0,352633585113971							
2040,625	0,345938504702669							
2043,75	0,346404474739124							
2046,875	0,345567581576363							
2050	0,342519869134422							
2053,125	0,349053357881618							
2056,25	0,350418817864611							
2059,375	0,344208559796824							
2062,5	0,348121860880725							
2065,625	0,351528643952645							
2068,75	0,347234314873006							
2071,875	0,346592342723676							
2075	0,3459174215015							
2078,125	0,351998105979489							
2081,25	0,348181164551461							
2084,375	0,346544561279743							
2087,5	0,343024200586832							
2090,625	0,342952271716208							
2093,75	0,345980002858088							
2096,875	0,349529502060687							
2100	0,347408123591254							
2103,125	0,341957837126876							
2106,25	0,342646761286638							
2109,375	0,341914575666544							
2112,5	0,346391878946753							
2115,625	0,347494746224977							
2118,75	0,347406460956439							
2121,875	0,34628275811975							
2125	0,341080165375648							
2128,125	0,338602612617381							
2131,25	0,342843178326408							
2134,375	0,345718075203212							
2137,5	0,343683106095062							
2140,625	0,33899299733943							
2143,75	0,337251450092794							
2146,875	0,338551577325813							
2150	0,339058109301459							
2153,125	0,336277422986348							
2156,25	0,342737850171495							
2159,375	0,338785475806928							
2162,5	0,34130214241267							
2165,625	0,342934894892339							
2168,75	0,332735949721557							
2171,875	0,33388765374396							
2175	0,340243041575859							
2178,125	0,335520358707022							
2181,25	0,33956829296896							
2184,375	0,332789889491231							
2187,5	0,334283261233991							
2190,625	0,333559688475916							
2193,75	0,336137979386104							
2196,875	0,334429259441396							
2200	0,335540276295225							
2203,125	0,332178082083702							
2206,25	0,332497543485734							
2209,375	0,325627774984497							
2212,5	0,323625056953266							
2215,625	0,328485297813947							
2218,75	0,329654851334024							
2221,875	0,325255325161475							
2225	0,321739664322848							
2228,125	0,325009620731519							
2231,25	0,324030963486716							
2234,375	0,325881610893142							
2237,5	0,326694624380863							
2240,625	0,332474435852658							
2243,75	0,330145520181893							
2246,875	0,325177587901912							
2250	0,326010219141012							
2253,125	0,32444910749176							
2256,25	0,321744190770371							
2259,375	0,326317102763003							
2262,5	0,321715348825575							
2265,625	0,323415785013311							
2268,75	0,324076077162316							
2271,875	0,325834202996734							
2275	0,320436673130143							
2278,125	0,322936604731934							
2281,25	0,330986718171082							
2284,375	0,32842794541712							
2287,5	0,326370974735054							
2290,625	0,321940818797981							
2293,75	0,323815882263922							
2296,875	0,321842421146764							
2300	0,323641658945082							
2303,125	0,324797535209332							
2306,25	0,324778793761265							
2309,375	0,326196687034368							
2312,5	0,327415026695064							
2315,625	0,328341764932256							
2318,75	0,331102310252749							
2321,875	0,331254746512318							
2325	0,32733018599761							
2328,125	0,325122984512804							
