Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_HF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_HF Sound Absorption Coefficient 1/3-octave	
253,125	0,345668296373065	709,375	0,291276074695856	709,375	0,0280309196794724	253,125	0,0394627254677328	253,125	0,0362826628267731	709,375	0,0213589180972471													
256,25	0,359307260865417	712,5	0,295399140090522	712,5	0,0308029799696506	256,25	0,0426097790407295	256,25	0,0393161492163331	712,5	0,0239511422262736													
259,375	0,375715955557884	715,625	0,291010884090689	715,625	0,0249925310045995	259,375	0,0532168637865713	259,375	0,0501455848688031	715,625	0,0178361270418526													
262,5	0,380784236358072	718,75	0,289242488818026	718,75	0,0214715544516053	262,5	0,0415906150478599	262,5	0,0383448507804307	718,75	0,0139544575913992													
265,625	0,388119143190141	721,875	0,293382567708079	721,875	0,0272164069930838	265,625	0,0324520128972748	265,625	0,0291231014721544	721,875	0,0197545812716005													
268,75	0,401881965517428	725	0,288537066684957	725	0,0192548751056441	268,75	0,039334190803777	268,75	0,0360454339665186	725	0,0114837917314888													
271,875	0,417307693006482	728,125	0,292526597745961	728,125	0,0270413438081802	271,875	0,0421503922492859	271,875	0,0389727649373588	728,125	0,0189431716406419													
275	0,423252107291565	731,25	0,29083800874536	731,25	0,0218655754876433	275	0,0321092175434148	275	0,0286586420406201	731,25	0,0137524365975392													
278,125	0,440505560197336	734,375	0,293376394082074	734,375	0,022667123117635	278,125	0,0415628479140204	278,125	0,0382769154731345	734,375	0,0138380180055808													
281,25	0,450191533035485	737,5	0,291081829467364	737,5	0,0188109310654017	281,25	0,0407372809236922	281,25	0,0373690832399552	737,5	0,00946922536070383													
284,375	0,460756189247907	740,625	0,294575720914599	740,625	0,027584815558124	284,375	0,0388679385335162	284,375	0,0354136778436094	740,625	0,0185696902003647													
287,5	0,4607743389521	743,75	0,29696261396315	743,75	0,0319326440118533	287,5	0,0126059293576305	287,5	0,00908438021753211	743,75	0,0232359823470829													
290,625	0,48386478129416	746,875	0,291351292937321	746,875	0,0165521065015177	290,625	0,0318769019079699	290,625	0,0287158169269405	746,875	0,00754311153374487													
293,75	0,491071507554313	750	0,294967811007318	750	0,0161683283973231	293,75	0,0274419303388237	293,75	0,0243871463467168	750	0,00637286360750999													
296,875	0,504819928795156	753,125	0,296812639982055	753,125	0,0205737962866095	296,875	0,0361598991415977	296,875	0,0355307984303949	753,125	0,0112621108921891													
300	0,514941161380667	756,25	0,296092300298699	756,25	0,0243000121479052	300	0,0570707966771981	300	0,0764590420909759	756,25	0,0147431650092416													
303,125	0,528542974198286	759,375	0,30378814371977	759,375	0,0305123185968077	303,125	0,0475910434165923	303,125	0,0374574573234536	759,375	0,0193556370493416													
306,25	0,541372018926622	762,5	0,299103718068146	762,5	0,021206638524131	306,25	0,0478860283355759	306,25	0,043283248807813	762,5	0,0100707551574239													
