Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Im	
1146,875	6,26398277282715	690,625	9,53097152709961	1146,875	4,38745403289795	690,625	-0,567636847496033	
1150	6,15529680252075	693,75	9,50354480743408	1150	4,37742233276367	693,75	-0,46471431851387	
1153,125	6,09770441055298	696,875	9,42410087585449	1153,125	4,35944938659668	696,875	-0,505613923072815	
1156,25	6,05382347106934	700	9,55488681793213	1156,25	4,31455516815186	700	-0,536457657814026	
1159,375	6,08538341522217	703,125	9,6509838104248	1159,375	4,3070068359375	703,125	-0,559223890304565	
1162,5	6,05494070053101	706,25	9,5120096206665	1162,5	4,2483811378479	706,25	-0,7129847407341	
1165,625	6,03276491165161	709,375	9,52050495147705	1165,625	4,22158575057983	709,375	-0,708404779434204	
1168,75	6,01715898513794	712,5	9,64198780059814	1168,75	4,3230447769165	712,5	-0,758775413036346	
1171,875	6,04529714584351	715,625	9,51482486724854	1171,875	4,25643253326416	715,625	-0,676472365856171	
1175	5,92005968093872	718,75	9,37087440490723	1175	4,25012922286987	718,75	-0,740174770355225	
1178,125	5,89075422286987	721,875	9,57290363311768	1178,125	4,28432512283325	721,875	-0,784739911556244	
1181,25	5,86530590057373	725	9,50501823425293	1181,25	4,24673891067505	725	-0,727970123291016	
1184,375	5,87393283843994	728,125	9,41228103637695	1184,375	4,21285915374756	728,125	-0,730145514011383	
1187,5	5,81641435623169	731,25	9,55978012084961	1187,5	4,18669748306274	731,25	-0,779986321926117	
1190,625	5,75655603408813	734,375	9,46776962280273	1190,625	4,11564540863037	734,375	-0,733536303043365	
1193,75	5,74038887023926	737,5	9,47097301483154	1193,75	4,06853532791138	737,5	-0,728668451309204	
