target,target_name,frequency_hz,parameter,base_sample_size,teacher_S1,teacher_ST,teacher_S1_ci_low,teacher_S1_ci_high,teacher_ST_ci_low,teacher_ST_ci_high,mlp_S1,mlp_ST,mlp_minus_teacher_S1,mlp_minus_teacher_ST
re,R_real,711.023622047244,lambda_prime,1024,0.00900614888891738,0.0208090542099328,-0.0495609755886599,0.0942099037312057,0.0173791283589517,0.0259058900610761,0.00880059789357368,0.0220243050466335,-0.000205550995343695,0.00121525083670079
re,R_real,711.023622047244,k0_prime,1024,0.17014155405484,0.199495473618883,0.113250506452282,0.2434332964382,0.18147862153155,0.224465385640572,0.168137259096854,0.20373417528107,-0.00200429495798615,0.00423870166218718
re,R_real,749.212598425197,sigma,1024,0.738921122941617,0.795182227383751,0.699143482742957,0.763614972905375,0.725609814564585,0.856758542888837,0.735054470192458,0.793805265248361,-0.00386665274915998,-0.00137696213538929
re,R_real,749.212598425197,alpha_infinity,1024,0.035137044264107,0.0578101067913488,-0.0258771996416267,0.127683607625528,0.047866611104601,0.0690669058256389,0.0359000563211492,0.0583907805053814,0.000763012057042212,0.000580673714032566
re,R_real,749.212598425197,lambda,1024,0.0121764355245245,0.0361584629061872,-0.0673673021154841,0.101264579971832,0.0291884826255124,0.0437191875105183,0.0141686400625761,0.0392769321229204,0.0019922045380516,0.00311846921673314
re,R_real,749.212598425197,lambda_prime,1024,0.00789645143495254,0.0184394094349175,-0.0489429253060683,0.0915288023195606,0.0153376439154844,0.0226953512045673,0.00896968160022082,0.0191055031467171,0.00107323016526828,0.000666093711799567
re,R_real,749.212598425197,k0_prime,1024,0.134840556198992,0.1612425556765,0.0806384832703976,0.209558409892654,0.146215315670905,0.183071051613433,0.133015864854124,0.16497410156275,-0.00182469134486785,0.00373154588624997
re,R_real,787.40157480315,sigma,1024,0.778724709583755,0.830718076306804,0.741755075804041,0.800650878402291,0.757363154172801,0.89363598884882,0.775110067358937,0.829235385111528,-0.00361464222481844,-0.00148269119527622
re,R_real,787.40157480315,alpha_infinity,1024,0.0315932198831215,0.0524555664596145,-0.0285986287312376,0.125328631037752,0.0435072658617456,0.0630266118199414,0.0326203024484392,0.0534682471331879,0.00102708256531769,0.00101268067357337
re,R_real,787.40157480315,lambda,1024,0.0106741213696113,0.0315163782740008,-0.0651882333127454,0.0962988570553254,0.0257845103413698,0.0379476010199759,0.0120537220358872,0.0333970119209577,0.00137960066627585,0.00188063364695692
