Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient 1/3-octave	
618,75	0,192620316685373	162,5	0,0627560022866749	162,5	0,0551496453147612	618,75	0,261554310348419	618,75	0,402826590059591	162,5	0,0592326062602014	162,5	0,0570518344824491	618,75	0,324079266487626	618,75	0,469740917232457	162,5	0,0701077805582677	162,5	0,073222456580683	618,75	0,509502551860633	618,75	0,531893651241447	162,5	0,0759240621874526	162,5	0,0826886456725348	618,75	0,594179568950833																																	
621,875	0,196931351178523	165,625	0,0547964170912068	165,625	0,0471568856766276	621,875	0,266807712987245	621,875	0,408447990078808	165,625	0,0513008097245042	165,625	0,0489543860995294	621,875	0,329134984710582	621,875	0,475360542390368	165,625	0,0624271694906871	165,625	0,0658411460527821	621,875	0,514837931490393	621,875	0,537106514008172	165,625	0,0686523697727007	165,625	0,0762834435687254	621,875	0,598990691942535																																	
625	0,201054392506982	168,75	0,0936267600696459	168,75	0,0868127624252671	625	0,271297370312113	625	0,412992992919063	168,75	0,0910494948363012	168,75	0,0889304977983736	625	0,333313344959449	625	0,479579589368674	168,75	0,102252503369117	168,75	0,105946328344801	625	0,518862456118756	625	0,541067923183027	168,75	0,108663716630809	168,75	0,116736330624954	625	0,602613324851993																																	
628,125	0,196350492080295	171,875	0,0896472035125591	171,875	0,0827568937615522	628,125	0,268694676080648	628,125	0,412293931042937	171,875	0,087307453353346	171,875	0,0848657152482561	628,125	0,33097786809094	628,125	0,479412211831993	171,875	0,0989594805023725	171,875	0,102752688353698	628,125	0,51889888122571	628,125	0,541307304114572	171,875	0,105731844230114	171,875	0,114044323388233	628,125	0,603059350031408																																	
631,25	0,194695424173436	175	0,0831141180202187	175	0,0764583493188636	631,25	0,268300987916315	631,25	0,413155045298894	175	0,081289188711034	175	0,0788391406512946	631,25	0,33095639869306	631,25	0,480730320457949	175	0,0933147996557638	175	0,097212203457419	631,25	0,52030313059857	631,25	0,542862557670869	175	0,100347812548231	175	0,108867516145873	631,25	0,60469025271156																																	
634,375	0,1977192280264	178,125	0,0937314761475626	178,125	0,0873827415213372	634,375	0,272119255506971	634,375	0,417652366127728	178,125	0,0924252791064736	178,125	0,0900697957598255	634,375	0,334897371016994	634,375	0,485111812548946	178,125	0,104931967753082	178,125	0,109074681036486	634,375	0,524660749711203	634,375	0,547098198062363	178,125	0,112327489049619	178,125	0,121286335391255	634,375	0,608566419557811																																	
637,5	0,204232092156247	181,25	0,0868346022159537	181,25	0,0804220309857802	637,5	0,278703313230201	637,5	0,424211385307221	181,25	0,0856558820667628	181,25	0,0830802831491702	637,5	0,341378297787713	637,5	0,491179984363685	181,25	0,0984710700214946	181,25	0,102860492613318	637,5	0,530452728722199	637,5	0,552755679577522	181,25	0,106219059563351	181,25	0,11583946499467	637,5	0,613509656580676																																	
640,625	0,202222649417455	184,375	0,0868697339978449	184,375	0,0808278342783382	640,625	0,278067204902627	640,625	0,425179129228929	184,375	0,0866011510228848	184,375	0,0837439482174294	640,625	0,341358707744713	640,625	0,492456326136396	184,375	0,0997696686087622	184,375	0,104494891793617	640,625	0,532045720169137	640,625	0,554247207611564	184,375	0,108002660973352	184,375	0,118380279933809	640,625	0,615164625703574																																	
643,75	0,195855142154754	187,5	0,0842257692971271	187,5	0,0782797715900444	643,75	0,273379252510336	643,75	0,423229432664138	187,5	0,0843267012565615	187,5	0,0814068575674785	643,75	0,337801423880174	643,75	0,491412455764755	187,5	0,0979123065767754	187,5	0,102889563865967	643,75	0,531702160127499	643,75	0,553912758162893	187,5	0,106447644456969	187,5	0,117260925828537	643,75	0,615510129062387																																	
646,875	0,200515255689296	190,625	0,078590164181423	190,625	0,0727659058704362	646,875	0,278012673366041	646,875	0,428357720131837	190,625	0,0789576928738187	190,625	0,0759147073794317	646,875	0,342989486214043	646,875	0,496341048798758	190,625	0,0928817831164026	190,625	0,0980584063856715	646,875	0,536320951195012	646,875	0,558407762976707	190,625	0,101717688349029	190,625	0,112200341033582	646,875	0,619394076615002																																	
650	0,202830062613722	193,75	0,0865471587569794	193,75	0,081074194375989	650	0,280322313604907	650	0,431693760670877	193,75	0,0875719045997874	193,75	0,0844084225855936	650	0,34596201116668	650	0,499705702159861	193,75	0,101873902670842	193,75	0,107369944264297	650	0,539682095350872	650	0,561639383709195	193,75	0,111074204010271	193,75	0,123235849416537	650	0,622332768585501																																	
653,125	0,197905711687052	196,875	0,0899646001089318	196,875	0,0846092426605592	653,125	0,276400783640164	653,125	0,430586052977089	196,875	0,0915069665739731	196,875	0,0879605351947088	653,125	0,343490964156389	653,125	0,499480357001433	196,875	0,106152165360638	196,875	0,111872461820185	653,125	0,539696323622197	653,125	0,561859449176005	196,875	0,115665843187334	196,875	0,12843545662897	653,125	0,622925434495183																																	
656,25	0,195787990133219	200	0,0949446460336525	200	0,0899361318641396	656,25	0,274971272719704	656,25	0,431049319332647	200	0,0970400335339873	200	0,0933657555787412	656,25	0,343207857710383	656,25	0,500548517237989	200	0,111696351451385	200	0,117566791059577	656,25	0,54079795023671	656,25	0,563021707824136	200	0,121395246993042	200	0,133264123628775	656,25	0,624106334558326																																	
659,375	0,194431746560945	203,125	0,0956130682675256	203,125	0,0909533705954924	659,375	0,273878385338276	659,375	0,432744839413065	203,125	0,0986398094931579	203,125	0,0949078209221099	659,375	0,343877200830156	659,375	0,502476168941135	203,125	0,113976300028903	203,125	0,120381677616754	659,375	0,542791139165975	659,375	0,564943358801989	203,125	0,124342338032733	203,125	0,137669875954694	659,375	0,625916178068698																																	
662,5	0,201935783568823	206,25	0,0897115413406386	206,25	0,0849811876057922	662,5	0,280462543743957	662,5	0,439382992436548	206,25	0,0928705856567469	206,25	0,0889152814167151	662,5	0,35094939574814	662,5	0,50884948991217	206,25	0,10848083194497	206,25	0,114943361201771	662,5	0,548902996670107	662,5	0,570791295418786	206,25	0,11904726426181	206,25	0,132862204125527	662,5	0,631006308306679																																	
665,625	0,197099807986644	209,375	0,098264699822131	209,375	0,0940205732191152	665,625	0,275894058405728	665,625	0,437978945213817	209,375	0,102303417192576	209,375	0,0981756063864692	665,625	0,348294886759484	665,625	0,508337331550298	209,375	0,118093033301952	209,375	0,124870797932237	665,625	0,548692715213639	665,625	0,57073059880552	209,375	0,129081545769684	209,375	0,143344840210388	665,625	0,631309401391603																																	
668,75	0,200010799549294	212,5	0,0833675437597406	212,5	0,0790631736883021	668,75	0,27814573706065	668,75	0,44198468601336	212,5	0,0877282658603951	212,5	0,0832824285777203	668,75	0,351879081056092	668,75	0,512358856837621	212,5	0,104116102840174	212,5	0,111174119660671	668,75	0,552479869154841	668,75	0,574324797997487	212,5	0,115618119987336	212,5	0,130551118044071	668,75	0,634661741817766																																	
671,875	0,20387598936889	215,625	0,0861344103161827	215,625	0,0822013095567075	671,875	0,280848457612654	671,875	0,446314308072179	215,625	0,0913089873870726	215,625	0,0867051415264761	671,875	0,356108939734691	671,875	0,51636264149104	215,625	0,108181358265059	215,625	0,115531229686514	671,875	0,556317617862803	671,875	0,57795806837931	215,625	0,120092289215826	215,625	0,135605101860647	671,875	0,637931106784245																																	
675	0,2055269685393	218,75	0,0938831284025462	218,75	0,0904202979023704	675	0,281676507837051	675	0,448964468347311	218,75	0,0999258564800456	218,75	0,0951118666457347	675	0,3583497006446	675	0,519126176157455	218,75	0,117025612813661	218,75	0,124671504495984	675	0,559045891636003	675	0,580458113064695	218,75	0,129326918000815	218,75	0,145307660405947	675	0,640010721891346																																	
678,125	0,210448753794565	221,875	0,0813785744734716	221,875	0,0780056031703126	678,125	0,286516514124858	678,125	0,454623732229456	221,875	0,0882211842677023	221,875	0,0829233971967041	678,125	0,36398662685204	678,125	0,524953841939319	221,875	0,105998520086437	221,875	0,114020851271284	678,125	0,564273699625516	678,125	0,585690074657756	221,875	0,118988055544688	221,875	0,135933507682526	678,125	0,644688006995839																																	
681,25	0,208769438959119	225	0,0898570495613162	225	0,0867344009560396	681,25	0,28531940005989	681,25	0,456003362919465	225	0,0972350099882366	225	0,0917951736158	681,25	0,364324524078485	681,25	0,526818416739015	225	0,115099056510976	225	0,123339754296441	681,25	0,566057303203909	681,25	0,587439217542591	225	0,128374840704131	225	0,145397268571334	681,25	0,646489800599367																																	
684,375	0,207941996187995	228,125	0,100029144564181	228,125	0,0974597479649587	684,375	0,284818252787213	684,375	0,457384005610751	228,125	0,108374734544221	228,125	0,102628218564128	684,375	0,364860321699996	684,375	0,52851330910842	228,125	0,126472767147291	228,125	0,134961467494806	684,375	0,567511744555174	684,375	0,588721696350788	228,125	0,140151325700084	228,125	0,157389692410945	684,375	0,647737403323194																																	
687,5	0,213807587025507	231,25	0,104396766374996	231,25	0,1021518159511	687,5	0,29108373556567	687,5	0,463936602857723	231,25	0,113521591644389	231,25	0,107524251612143	687,5	0,37140227304203	687,5	0,534769207647368	231,25	0,131944103983253	231,25	0,140665018809794	687,5	0,573222640159191	687,5	0,594286777155399	231,25	0,145967352820916	231,25	0,163849562790023	687,5	0,65257564865757																																	
690,625	0,213667183771337	234,375	0,0910452771718021	234,375	0,0889585409551971	690,625	0,291307882840778	690,625	0,465318610634183	234,375	0,100940572423761	234,375	0,0946240494630313	690,625	0,372073938326054	690,625	0,536382556497382	234,375	0,12002270079345	234,375	0,129171534424473	690,625	0,574749978280548	690,625	0,596000460603307	234,375	0,134637722562154	234,375	0,153656307390842	690,625	0,653926560142772																																	
693,75	0,21555970420392	237,5	0,0982012842133709	237,5	0,0966177152640877	693,75	0,293616488440422	693,75	0,467300345165399	237,5	0,109070189610305	237,5	0,102475086174005	693,75	0,37359689331491	693,75	0,538626452263814	237,5	0,12842108025291	237,5	0,13784403600092	693,75	0,576703291665103	693,75	0,597824316220144	237,5	0,143394476296391	237,5	0,162609532939047	693,75	0,655669929537964																																	
