Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Im	
1143,75	0,682434976100922	1143,75	-1,30194854736328	
1146,875	0,682227790355682	1146,875	-1,29463768005371	
1150	0,684975802898407	1150	-1,28019738197327	
1153,125	0,686188519001007	1153,125	-1,28106844425201	
1156,25	0,68156373500824	1156,25	-1,2835191488266	
1159,375	0,677169859409332	1159,375	-1,27082049846649	
1162,5	0,68244743347168	1162,5	-1,27432918548584	
1165,625	0,683789908885956	1165,625	-1,26235294342041	
1168,75	0,684946894645691	1168,75	-1,25928914546967	
1171,875	0,680805265903473	1171,875	-1,25565922260284	
1175	0,681025087833405	1175	-1,24384593963623	
1178,125	0,679987609386444	1178,125	-1,24128639698029	
1181,25	0,682194530963898	1181,25	-1,24133598804474	
1184,375	0,682734310626984	1184,375	-1,23001635074615	
1187,5	0,679629385471344	1187,5	-1,22198879718781	
1190,625	0,681912899017334	1190,625	-1,22044575214386	
1193,75	0,682844161987305	1193,75	-1,22457146644592	
1196,875	0,687808513641357	1196,875	-1,21613383293152	
1200	0,681811809539795	1200	-1,20235419273376	
1203,125	0,684485077857971	1203,125	-1,20063185691833	
1206,25	0,692229390144348	1206,25	-1,19851875305176	
1209,375	0,681332588195801	1209,375	-1,18544578552246	
1212,5	0,677874147891998	1212,5	-1,17585802078247	
1215,625	0,683023393154144	1215,625	-1,17995870113373	
1218,75	0,681400656700134	1218,75	-1,16922044754028	
1221,875	0,685173988342285	1221,875	-1,16784846782684	
1225	0,683311939239502	1225	-1,16982221603394	
1228,125	0,678092539310455	1228,125	-1,15292525291443	
1231,25	0,680089771747589	1231,25	-1,15414655208588	
1234,375	0,681262910366058	1234,375	-1,15701448917389	
1237,5	0,674616813659668	1237,5	-1,14740598201752	
1240,625	0,680918514728546	1240,625	-1,14268946647644	
1243,75	0,677316665649414	1243,75	-1,13765025138855	
1246,875	0,679715156555176	1246,875	-1,1333179473877	
1250	0,682938814163208	1250	-1,12481808662415	
1253,125	0,67764687538147	1253,125	-1,12087845802307	
1256,25	0,67682558298111	1256,25	-1,10995876789093	
1259,375	0,678167641162872	1259,375	-1,1093145608902	
1262,5	0,68114560842514	1262,5	-1,10952246189117	
1265,625	0,680951118469238	1265,625	-1,10566878318787	
1268,75	0,678738474845886	1268,75	-1,100217461586	
1271,875	0,682606518268585	1271,875	-1,0948314666748	
1275	0,680557370185852	1275	-1,09220099449158	
1278,125	0,680577397346497	1278,125	-1,08701550960541	
1281,25	0,6782186627388	1281,25	-1,08307063579559	
1284,375	0,680930316448212	1284,375	-1,08197033405304	
1287,5	0,678486168384552	1287,5	-1,07955539226532	
1290,625	0,675141274929047	1290,625	-1,07213616371155	
1293,75	0,679942429065704	1293,75	-1,06999731063843	
1296,875	0,679952502250671	1296,875	-1,06236302852631	
1300	0,672250866889954	1300	-1,06369757652283	
1303,125	0,670083940029144	1303,125	-1,05920326709747	
1306,25	0,675099194049835	1306,25	-1,0552567243576	
1309,375	0,675150096416473	1309,375	-1,04886388778687	
1312,5	0,673269033432007	1312,5	-1,04471731185913	
1315,625	0,671957075595856	1315,625	-1,04399788379669	
1318,75	0,674856424331665	1318,75	-1,03588390350342	
1321,875	0,676812648773193	1321,875	-1,03448235988617	
1325	0,675513744354248	1325	-1,03189313411713	
1328,125	0,672671318054199	1328,125	-1,02724826335907	
1331,25	0,674224495887756	1331,25	-1,02136790752411	
1334,375	0,668451249599457	1334,375	-1,01510119438171	
1337,5	0,671125829219818	1337,5	-1,01430487632751	
1340,625	0,673062682151794	1340,625	-1,00830638408661	
1343,75	0,671919405460358	1343,75	-1,00830209255219	
1346,875	0,672653138637543	1346,875	-1,00191032886505	
1350	0,669916927814484	1350	-0,99876880645752	
1353,125	0,669760167598724	1353,125	-0,998473584651947	
1356,25	0,662175893783569	1356,25	-0,99109673500061	
1359,375	0,667785227298737	1359,375	-0,986730992794037	
1362,5	0,667334496974945	1362,5	-0,981789231300354	
1365,625	0,665036261081696	1365,625	-0,978919565677643	
1368,75	0,666300892829895	1368,75	-0,975730955600739	
1371,875	0,663664817810059	1371,875	-0,969782710075378	
1375	0,659196496009827	1375	-0,967790901660919	
1378,125	0,659223973751068	1378,125	-0,967044711112976	
1381,25	0,65506386756897	1381,25	-0,955806970596313	
1384,375	0,655113041400909	1384,375	-0,954025447368622	
1387,5	0,658099710941315	1387,5	-0,952123701572418	
1390,625	0,660575270652771	1390,625	-0,945866167545319	
1393,75	0,660412847995758	1393,75	-0,939954519271851	
1396,875	0,658828377723694	1396,875	-0,935976326465607	
1400	0,661362767219543	1400	-0,931403398513794	
1403,125	0,658435761928558	1403,125	-0,928749799728394	
1406,25	0,655699670314789	1406,25	-0,925548434257507	
