Frequency in Hz	Wool_96 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96 Sound Absorption Coefficient continuous	
		1965,625	0,978427688318218	
		1968,75	0,978663767040607	
		1971,875	0,979305244957295	
		1975	0,979767756710822	
		1978,125	0,979908655212246	
		1981,25	0,979955005262476	
		1984,375	0,980507323510094	
		1987,5	0,98081971123015	
		1990,625	0,980970126792411	
		1993,75	0,981293309340271	
		1996,875	0,981348889898835	
		2000	0,981540121113863	
		2003,125	0,98167481237194	
		2006,25	0,982064562570742	
		2009,375	0,982462916393647	
		2012,5	0,982739244372002	
		2015,625	0,982879514856346	
		2018,75	0,983244097359346	
		2021,875	0,983345107747892	
		2025	0,983512894534895	
		2028,125	0,983850309475342	
		2031,25	0,984375637121711	
		2034,375	0,98418377764957	
		2037,5	0,984395435648236	
		2040,625	0,984969096178623	
		2043,75	0,985153920489225	
		2046,875	0,98523116980454	
		2050	0,985327843814388	
		2053,125	0,985474562391744	
		2056,25	0,985779036224204	
		2059,375	0,985945581324778	
		2062,5	0,986066569914433	
		2065,625	0,986177082471053	
		2068,75	0,986309428907613	
		2071,875	0,986439866663123	
		2075	0,986609264003414	
		2078,125	0,986925866740663	
		2081,25	0,987216431800906	
		2084,375	0,987244534999708	
		2087,5	0,98726858454425	
		2090,625	0,987390407122705	
		2093,75	0,987701873650704	
		2096,875	0,987836906112899	
		2100	0,988021676546589	
		2103,125	0,988196700313634	
		2106,25	0,988408295818282	
		2109,375	0,988403906536503	
		2112,5	0,988512318607428	
		2115,625	0,988823207029776	
		2118,75	0,988993897123585	
		2121,875	0,989208287337587	
		2125	0,989394390653634	
		2128,125	0,989488897431651	
		2131,25	0,989611550802515	
		2134,375	0,989729837007594	
		2137,5	0,989934066953815	
		2140,625	0,990114581893912	
		2143,75	0,990258753953329	
		2146,875	0,990282312312384	
		2150	0,990438897464685	
		2153,125	0,990711420695994	
		2156,25	0,990715869537726	
		2159,375	0,990868722038807	
		2162,5	0,991057925289817	
		2165,625	0,991233938361232	
		2168,75	0,991325195297963	
		2171,875	0,991362760724807	
		2175	0,991344797869827	
		2178,125	0,991507016949297	
		2181,25	0,991642974187479	
		2184,375	0,99183660241472	
		2187,5	0,99191281747995	
		2190,625	0,991952932244125	
		2193,75	0,991957423042501	
		2196,875	0,992104365463998	
		2200	0,992164366725618	
		2203,125	0,992204973202676	
		2206,25	0,992356478464526	
		2209,375	0,992491110056566	
		2212,5	0,992476958394679	
		2215,625	0,992463374394455	
		2218,75	0,992572326261601	
		2221,875	0,992624853089201	
		2225	0,992628216887405	
		2228,125	0,992690574061033	
		2231,25	0,992755400855495	
		2234,375	0,99284507320576	
		2237,5	0,992821500610468	
		2240,625	0,992807326021987	
		2243,75	0,992825127938563	
		2246,875	0,992870560711936	
		2250	0,992902339997115	
		2253,125	0,99299631153341	
		2256,25	0,993134261575857	
		2259,375	0,993099439418149	
		2262,5	0,993116333698933	
		2265,625	0,993188937320799	
		2268,75	0,993271378325108	
		2271,875	0,99323416852991	
		2275	0,993218523528394	
		2278,125	0,993211247793175	
		2281,25	0,993227858148467	
		2284,375	0,993234223087849	
		2287,5	0,993146107824253	
		2290,625	0,99323839150087	
		2293,75	0,993268530651922	
		2296,875	0,993182421746406	
		2300	0,993114744416518	
		2303,125	0,993191027263174	
		2306,25	0,99322361589144	
		2309,375	0,993149637025173	
		2312,5	0,993219666420896	
		2315,625	0,993195141347983	
		2318,75	0,9932550666008	
		2321,875	0,993324137904388	
		2325	0,993136725034888	
		2328,125	0,99307440442187	
		2331,25	0,993066833787011	
		2334,375	0,992995477736794	
		2337,5	0,992942013059027	
		2340,625	0,993016938524612	
		2343,75	0,99289924250286	
		2346,875	0,992904623587596	
		2350	0,992799448687732	
		2353,125	0,992779599695983	
		2356,25	0,992717667139677	
		2359,375	0,992675763076871	
		2362,5	0,99258852532363	
		2365,625	0,992653021967894	
		2368,75	0,992593334618956	
		2371,875	0,992782483422216	
		2375	0,992652310941059	
		2378,125	0,992476750253748	
		2381,25	0,992369068761259	
		2384,375	0,992280792444279	
		2387,5	0,992404360365917	
		2390,625	0,992290613082594	
		2393,75	0,992145007779549	
		2396,875	0,991970015688285	
		2400	0,991970370025611	
		2403,125	0,991908445418811	
		2406,25	0,991782525654561	
		2409,375	0,99173555854843	
		2412,5	0,991643818426411	
		2415,625	0,991777796753144	
		2418,75	0,991682748633925	
		2421,875	0,991452369093243	
		2425	0,991394019511895	
		2428,125	0,991368780966742	
		2431,25	0,99122292238996	
		2434,375	0,991201032912111	
		2437,5	0,991090627146677	
		2440,625	0,991016811013455	
		2443,75	0,99088217703561	
		2446,875	0,990824392745728	
		2450	0,990596367292227	
		2453,125	0,990576677240899	
		2456,25	0,990531113998857	
		2459,375	0,990288295421379	
		2462,5	0,99029963580068	
		2465,625	0,990184288374805	
		2468,75	0,990126452483762	
		2471,875	0,990090516531837	
		2475	0,989859037825618	
		2478,125	0,989651200233027	
		2481,25	0,98964881707145	
		2484,375	0,989519965848274	
		2487,5	0,989280145056751	
