target,target_name,segment,lower_hz,upper_hz,parameter,functional_S1,functional_ST,functional_ST_minus_S1,mean_pointwise_S1,mean_pointwise_ST,max_pointwise_ST,peak_ST_frequency_hz
re,R_real,highlow_1300_1650,1300,1650,alpha_infinity,0.00284596469445209,0.01116803283815,0.00832206814369793,0.00293177407221418,0.011124681081882,0.0150071234395418,1627.55905511811
re,R_real,highlow_1300_1650,1300,1650,lambda,0.00326253708772639,0.0152786767768215,0.0120161396890951,0.00320834029797591,0.0149331321709576,0.0275254007291542,1627.55905511811
re,R_real,highlow_1300_1650,1300,1650,lambda_prime,0.00119820535941939,0.00210776096559754,0.000909555606178153,0.00122819048584535,0.00213999763295323,0.00326053489726992,1322.04724409449
re,R_real,highlow_1300_1650,1300,1650,k0_prime,0.00242113427393231,0.00711548186442667,0.00469434759049436,0.00252642481095654,0.00723525113605072,0.0115425730387273,1322.04724409449
re,R_real,high_1650_2000,1650,2000,sigma,0.923880261122959,0.964536166192194,0.0406559050692357,0.9228249665251,0.964024705848542,0.980916838010288,1665.74803149606
re,R_real,high_1650_2000,1650,2000,alpha_infinity,0.00998067335428732,0.0358583236699565,0.0258776503156692,0.0102503392373931,0.0364290811351947,0.061780579899308,1971.25984251968
re,R_real,high_1650_2000,1650,2000,lambda,0.0135286859103089,0.0509030494646823,0.0373743635543734,0.0137231644822032,0.0514118363367786,0.0719607618186677,1971.25984251968
re,R_real,high_1650_2000,1650,2000,lambda_prime,-0.000138841843139836,0.00093229801066938,0.00107113985380922,-0.00014129873698649,0.000927495427057738,0.00119063540051889,1703.93700787402
re,R_real,high_1650_2000,1650,2000,k0_prime,-0.000527762728321113,0.00415777056210685,0.00468553329042796,-0.000534100480040643,0.00415576291852268,0.00431444540747292,1665.74803149606
re,R_real,upperlow_2000_3000,2000,3000,sigma,0.633214861648045,0.807267822491617,0.174052960843572,0.574324756412446,0.772676514456022,0.935250363406135,2009.44881889764
re,R_real,upperlow_2000_3000,2000,3000,alpha_infinity,0.126183063199244,0.243907290487003,0.117724227287759,0.154878737831727,0.292324903523201,0.576586196211256,2964.17322834646
re,R_real,upperlow_2000_3000,2000,3000,lambda,0.0536648361124461,0.127577642358011,0.0739128062455648,0.0600334920304354,0.136537770011406,0.170731825740429,2964.17322834646
re,R_real,upperlow_2000_3000,2000,3000,lambda_prime,0.00070691531487399,0.00136042711060291,0.000653511795728921,0.00108271550775011,0.00156258000104585,0.00308169092995549,2964.17322834646
re,R_real,upperlow_2000_3000,2000,3000,k0_prime,0.00235476196994433,0.00863599772944912,0.00628123575950479,0.00374766150128766,0.0102657690782325,0.0246192912851379,2964.17322834646
re,R_real,uppermid_3000_4000,3000,4000,sigma,0.152226970383542,0.46015440424511,0.307927433861568,0.15080739251523,0.445906165084082,0.553913970565343,3002.36220472441
re,R_real,uppermid_3000_4000,3000,4000,alpha_infinity,0.382368548509324,0.673254386494692,0.290885837985368,0.374760800445743,0.664680037226761,0.739642835165785,3422.44094488189
re,R_real,uppermid_3000_4000,3000,4000,lambda,0.0592336942100631,0.15871484002954,0.099481145819477,0.0490828167315499,0.15810099929668,0.170651823163675,3995.27559055118
re,R_real,uppermid_3000_4000,3000,4000,lambda_prime,0.00882706025533397,0.0137895372182317,0.00496247696289771,0.0107473447741389,0.0182220794900946,0.0485227088037976,3995.27559055118
re,R_real,uppermid_3000_4000,3000,4000,k0_prime,0.0733132237956103,0.086697794059562,0.0133845702639517,0.0933922401312913,0.109712045785806,0.24782486731534,3995.27559055118
re,R_real,upperhigh_4000_4950,4000,4950,sigma,0.278871685389274,0.59075277113847,0.311881085749196,0.273569482423945,0.585024160554854,0.730251853612239,4950
re,R_real,upperhigh_4000_4950,4000,4950,alpha_infinity,0.0728394933929841,0.385232357462786,0.312392864069802,0.0741291481937496,0.381423970573968,0.473791169719607,4033.46456692913
re,R_real,upperhigh_4000_4950,4000,4950,lambda,0.00133859516037904,0.173071623147555,0.171733027987176,0.000254695097507374,0.171890717201236,0.206263277530552,4950
re,R_real,upperhigh_4000_4950,4000,4950,lambda_prime,0.0404061722878223,0.067576464691142,0.0271702924033197,0.0411213573814427,0.0688080791547093,0.0826369305891568,4491.73228346457
re,R_real,upperhigh_4000_4950,4000,4950,k0_prime,0.194536157166164,0.272951181927907,0.0784150247617429,0.200703055470722,0.279606997551352,0.343590519288084,4377.16535433071
im,R_imag,low_100_700,100,700,sigma,0.942608675956892,0.949514440879741,0.006905764922849,0.850256852678786,0.855776069859692,0.981431936284446,672.834645669291
im,R_imag,low_100_700,100,700,alpha_infinity,0.000509818689903296,0.00139644934968733,0.000886630659784031,0.00085741241750853,0.00142410870196125,0.00268678014403053,672.834645669291
