target,target_name,frequency_hz,parameter,base_sample_size,S1,ST,ST_minus_S1,S1_ci_low,S1_ci_high,ST_ci_low,ST_ci_high,output_variance
re,R_real,634.645669291339,alpha_infinity,4096,0.0530598151018564,0.0809694117471974,0.027909596645341,0.0111593069216677,0.0950609467839602,0.0742765284397668,0.0878720288312383,0.00158816312111286
re,R_real,634.645669291339,lambda,4096,0.0218661195516454,0.0562092151624897,0.0343430956108443,-0.0157176599690882,0.053358355032126,0.0503376981199054,0.0643482057010878,0.00158816312111286
re,R_real,634.645669291339,lambda_prime,4096,0.0100664052474245,0.0273302582494941,0.0172638530020696,-0.0210829514640216,0.0427905745064043,0.0250288827024797,0.0300558089016179,0.00158816312111286
re,R_real,634.645669291339,k0_prime,4096,0.276974317064224,0.31872592457973,0.0417516075155057,0.250903038076526,0.305360083262516,0.300424375376743,0.339211608141669,0.00158816312111286
re,R_real,672.834645669291,sigma,4096,0.622752056184919,0.684827491026827,0.0620754348419077,0.597164996275725,0.640368496129954,0.654775778220844,0.722139029830621,0.00221124183723546
re,R_real,672.834645669291,alpha_infinity,4096,0.0468020271011962,0.0714670246522963,0.0246649975511001,0.00606546206704983,0.0871299793706162,0.065738776813843,0.0778324149458446,0.00221124183723546
re,R_real,672.834645669291,lambda,4096,0.0202075872817838,0.0497252781557831,0.0295176908739993,-0.0164626674818085,0.0526548077183423,0.0444112648936511,0.0572856416571494,0.00221124183723546
re,R_real,672.834645669291,lambda_prime,4096,0.0100466017602331,0.0240315816666377,0.0139849799064047,-0.0206222779574519,0.0439306334121472,0.021923615202242,0.0264862125219549,0.00221124183723546
re,R_real,672.834645669291,k0_prime,4096,0.214144580010586,0.252627367530721,0.0384827875201348,0.187111055457493,0.242152554848617,0.237952444957824,0.268584447200839,0.00221124183723546
re,R_real,711.023622047244,sigma,4096,0.685365737538958,0.743039125109495,0.0576733875705371,0.662772095821848,0.700922966219373,0.712848115089272,0.781262317773525,0.00296804268528446
re,R_real,711.023622047244,alpha_infinity,4096,0.0411384065491883,0.0643461460124431,0.0232077394632548,0.00245307893300573,0.0792178001656348,0.0585850325988291,0.0702771137545672,0.00296804268528446
re,R_real,711.023622047244,lambda,4096,0.0174974930618315,0.0444313011074218,0.0269338080455903,-0.0197695502899164,0.0498824436344876,0.0396497481308503,0.0508775444848056,0.00296804268528446
re,R_real,711.023622047244,lambda_prime,4096,0.00917540545088402,0.0217597166715055,0.0125843112206215,-0.0215671828732826,0.0426375874982623,0.019822332294278,0.0240008363299658,0.00296804268528446
re,R_real,711.023622047244,k0_prime,4096,0.167257956488121,0.201758964874475,0.0345010083863538,0.13962398779217,0.196571015160723,0.190375521002424,0.214410550376433,0.00296804268528446
re,R_real,749.212598425197,sigma,4096,0.733594997339471,0.788047299768583,0.0544523024291119,0.713912914970232,0.746539277947625,0.756299224419897,0.825324981220602,0.00384913555406675
re,R_real,749.212598425197,alpha_infinity,4096,0.0374522830171218,0.0584109874598637,0.020958704442742,-7.61147043102373e-05,0.0737031680700199,0.0534334609145784,0.0636634290718491,0.00384913555406675
re,R_real,749.212598425197,lambda,4096,0.0159587859039158,0.0396661979471493,0.0237074120432335,-0.021763562056718,0.0466688235141512,0.0356206590985622,0.045421120485932,0.00384913555406675
re,R_real,749.212598425197,lambda_prime,4096,0.00836503794858268,0.0189175008728262,0.0105524629242436,-0.0218424730355513,0.0406451151249135,0.0171811079479805,0.0208020197287306,0.00384913555406675
re,R_real,749.212598425197,k0_prime,4096,0.132712365703688,0.163390694543796,0.0306783288401077,0.1040072808102,0.161528018452185,0.15408437036915,0.17367657265763,0.00384913555406675
re,R_real,787.40157480315,sigma,4096,0.774523911691142,0.825873614071934,0.0513497023807918,0.756223884562077,0.786866492655876,0.792411786843804,0.861821666946716,0.00490296541334991
re,R_real,787.40157480315,alpha_infinity,4096,0.0330482597102683,0.0533734236949602,0.0203251639846919,-0.00217751098628494,0.0666300122321094,0.0488622794547944,0.0582186488261107,0.00490296541334991
