Frequency in Hz	Wool_94 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94 Sound Reflection Factor continuous Im	
837,5	0,397272884845734	837,5	-0,450220108032227	
840,625	0,395799607038498	840,625	-0,450161069631577	
843,75	0,392144411802292	843,75	-0,447579145431519	
846,875	0,393568933010101	846,875	-0,449210822582245	
850	0,392741769552231	850	-0,449420303106308	
853,125	0,393696844577789	853,125	-0,446417629718781	
856,25	0,392358392477036	856,25	-0,441704511642456	
859,375	0,388448297977448	859,375	-0,438744843006134	
862,5	0,386450231075287	862,5	-0,440199375152588	
865,625	0,386483818292618	865,625	-0,440345674753189	
868,75	0,386852264404297	868,75	-0,44044640660286	
871,875	0,383345931768417	871,875	-0,440854758024216	
875	0,382684916257858	875	-0,43630987405777	
878,125	0,380321800708771	878,125	-0,437323957681656	
881,25	0,377853006124496	881,25	-0,435492068529129	
884,375	0,363394409418106	884,375	-0,438182055950165	
887,5	0,36120668053627	887,5	-0,435002267360687	
890,625	0,358953088521957	890,625	-0,435625910758972	
893,75	0,358878821134567	893,75	-0,438462793827057	
896,875	0,355834066867828	896,875	-0,437265157699585	
900	0,355948686599731	900	-0,435287237167358	
903,125	0,353401601314545	903,125	-0,433253228664398	
906,25	0,352417141199112	906,25	-0,432887226343155	
909,375	0,352785021066666	909,375	-0,434376984834671	
912,5	0,349495679140091	912,5	-0,43568417429924	
915,625	0,347863674163818	915,625	-0,433774173259735	
918,75	0,346622914075851	918,75	-0,431692153215408	
921,875	0,345235526561737	921,875	-0,428982853889465	
925	0,344431817531586	925	-0,428426533937454	
928,125	0,345871210098267	928,125	-0,429383218288422	
931,25	0,340744942426682	931,25	-0,429100394248962	
934,375	0,340677440166473	934,375	-0,428013861179352	
937,5	0,338784396648407	937,5	-0,4270299077034	
940,625	0,338285237550735	940,625	-0,426367044448853	
943,75	0,336062371730804	943,75	-0,427836269140244	
946,875	0,335167050361633	946,875	-0,427094519138336	
950	0,334475457668304	950	-0,425554096698761	
953,125	0,334603935480118	953,125	-0,424356430768967	
956,25	0,332838982343674	956,25	-0,423182725906372	
959,375	0,330500334501266	959,375	-0,423536688089371	
962,5	0,330065101385117	962,5	-0,424426078796387	
965,625	0,329751670360565	965,625	-0,423761576414108	
968,75	0,330315887928009	968,75	-0,424077242612839	
971,875	0,327428698539734	971,875	-0,424022078514099	
975	0,327392518520355	975	-0,423399418592453	
978,125	0,326811254024506	978,125	-0,423423260450363	
981,25	0,324848234653473	981,25	-0,423101961612701	
984,375	0,325235426425934	984,375	-0,424454003572464	
987,5	0,324615120887756	987,5	-0,42484188079834	
990,625	0,324009418487549	990,625	-0,424935072660446	
993,75	0,323045194149017	993,75	-0,428079426288605	
996,875	0,322651088237762	996,875	-0,428583920001984	
1000	0,321215212345123	1000	-0,431041181087494	
