Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
678,125	0,868414223194122	678,125	-2,01983237266541	
681,25	0,86801952123642	681,25	-2,01470112800598	
684,375	0,867493033409119	684,375	-2,00825881958008	
687,5	0,861164271831512	687,5	-2,00901365280151	
690,625	0,854999840259552	690,625	-1,97614300251007	
693,75	0,863074600696564	693,75	-1,98253619670868	
696,875	0,86329311132431	696,875	-1,97418630123138	
700	0,864296972751617	700	-1,95734620094299	
703,125	0,860841810703278	703,125	-1,9495929479599	
706,25	0,863090634346008	706,25	-1,94818997383118	
709,375	0,869790196418762	709,375	-1,9368200302124	
712,5	0,861052632331848	712,5	-1,91078472137451	
715,625	0,862803876399994	715,625	-1,91758644580841	
718,75	0,858053088188171	718,75	-1,91166436672211	
721,875	0,863560199737549	721,875	-1,8999434709549	
725	0,857108175754547	725	-1,89422118663788	
728,125	0,863897323608398	728,125	-1,88020265102386	
731,25	0,860377073287964	731,25	-1,87794542312622	
734,375	0,861603438854218	734,375	-1,86944437026978	
737,5	0,857143402099609	737,5	-1,8669627904892	
740,625	0,865685045719147	740,625	-1,84788620471954	
743,75	0,869688630104065	743,75	-1,83250451087952	
746,875	0,851244509220123	746,875	-1,82353043556213	
750	0,850876092910767	750	-1,81820261478424	
753,125	0,856794774532318	753,125	-1,81684279441833	
756,25	0,861630916595459	756,25	-1,80955064296722	
759,375	0,867841958999634	759,375	-1,80447053909302	
762,5	0,862381994724274	762,5	-1,80515193939209	
765,625	0,866478443145752	765,625	-1,79551923274994	
768,75	0,856772065162659	768,75	-1,77775537967682	
771,875	0,863441586494446	771,875	-1,76285529136658	
775	0,863284230232239	775	-1,76637196540833	
778,125	0,867443740367889	778,125	-1,76071536540985	
781,25	0,863241791725159	781,25	-1,74928259849548	
784,375	0,86472076177597	784,375	-1,73705387115479	
787,5	0,863020360469818	787,5	-1,72580742835999	
790,625	0,863728642463684	790,625	-1,72341191768646	
793,75	0,867001295089722	793,75	-1,72498464584351	
796,875	0,86357194185257	796,875	-1,72610139846802	
800	0,863861918449402	800	-1,71731972694397	
803,125	0,861950874328613	803,125	-1,72031247615814	
806,25	0,861656248569489	806,25	-1,70958244800568	
809,375	0,858198881149292	809,375	-1,68244934082031	
812,5	0,864457786083221	812,5	-1,70166563987732	
815,625	0,866203010082245	815,625	-1,70357644557953	
818,75	0,864842891693115	818,75	-1,68549287319183	
