Frequency in Hz	Silk_94 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94 Sound Absorption Coefficient continuous	
		1834,375	0,751986849618285	
		1837,5	0,752065067594763	
		1840,625	0,750351717628939	
		1843,75	0,752483154053211	
		1846,875	0,752166514443636	
		1850	0,752165551307675	
		1853,125	0,752216587471101	
		1856,25	0,754129068966336	
		1859,375	0,753145822705449	
		1862,5	0,75447569149603	
		1865,625	0,754089007904372	
		1868,75	0,754657689386336	
		1871,875	0,75463166047765	
		1875	0,753483081824178	
		1878,125	0,755209250891294	
		1881,25	0,75536801705234	
		1884,375	0,754771553457735	
		1887,5	0,754865805059146	
		1890,625	0,756717939898683	
		1893,75	0,757102073091485	
		1896,875	0,757809435344692	
		1900	0,757274524750708	
		1903,125	0,758545005826223	
		1906,25	0,759040273134348	
		1909,375	0,758198929573737	
		1912,5	0,757483643158036	
		1915,625	0,758595600369015	
		1918,75	0,759335115171967	
		1921,875	0,757892480631179	
		1925	0,756931438731425	
		1928,125	0,759304571783237	
		1931,25	0,759340982062983	
		1934,375	0,758872834092873	
		1937,5	0,758850361243779	
		1940,625	0,75920736835559	
		1943,75	0,759161922328035	
		1946,875	0,760415930246393	
		1950	0,760090776720677	
		1953,125	0,759158626491019	
		1956,25	0,759228276563232	
		1959,375	0,758825649838783	
		1962,5	0,75740241990546	
		1965,625	0,758708334038911	
		1968,75	0,758440844708716	
		1971,875	0,759705135782179	
		1975	0,761572060709296	
		1978,125	0,75944541288767	
		1981,25	0,759727111785156	
		1984,375	0,759882805447376	
		1987,5	0,759589119182777	
		1990,625	0,758889191494576	
		1993,75	0,759316647248926	
		1996,875	0,758470347887418	
		2000	0,75754649544745	
		2003,125	0,757396667088603	
		2006,25	0,757378135910369	
		2009,375	0,758453889304055	
		2012,5	0,759319041587935	
		2015,625	0,758828755596898	
		2018,75	0,759729347748679	
		2021,875	0,757416871048115	
		2025	0,757190801295152	
		2028,125	0,758749684981809	
		2031,25	0,761677716802173	
		2034,375	0,758486903988006	
		2037,5	0,758817508221819	
		2040,625	0,764038554168905	
		2043,75	0,761669953945798	
		2046,875	0,760507146969796	
		2050	0,760535798978476	
		2053,125	0,759301679601398	
		2056,25	0,760339547609384	
		2059,375	0,761164701798009	
		2062,5	0,761390019174248	
		2065,625	0,761052242781284	
		2068,75	0,760038865510314	
		2071,875	0,759938918026105	
		2075	0,760854175915127	
		2078,125	0,761929788778533	
		2081,25	0,76295020905273	
		2084,375	0,761654059255688	
		2087,5	0,76158438373742	
		2090,625	0,761381793215639	
		2093,75	0,762981745590449	
		2096,875	0,763416437733747	
		2100	0,764284170069352	
		2103,125	0,764625557066772	
		2106,25	0,764063520756227	
		2109,375	0,764217997315831	
		2112,5	0,763242816830579	
		2115,625	0,764591807466866	
		2118,75	0,764386408651689	
		2121,875	0,766289598792973	
		2125	0,766482776006155	
		2128,125	0,764859089712182	
		2131,25	0,765896632408962	
		2134,375	0,766443487893198	
		2137,5	0,766022611606797	
		2140,625	0,767452223645559	
		2143,75	0,768013629885453	
		2146,875	0,766368963341303	
		2150	0,765994306868102	
		2153,125	0,767776772309836	
		2156,25	0,767125921893554	
		2159,375	0,768267898825943	
		2162,5	0,768670152830206	
		2165,625	0,768497236186727	
		2168,75	0,767784286488349	
		2171,875	0,768056851250317	
		2175	0,766368402784853	
		2178,125	0,767833091939454	
		2181,25	0,768599765710608	
		2184,375	0,769721118910775	
		2187,5	0,769141205096015	
		2190,625	0,768436440991539	
		2193,75	0,767068590410321	
		2196,875	0,767744480991758	
		2200	0,768857009445296	
		2203,125	0,768386819559643	
		2206,25	0,768587011214662	
		2209,375	0,769009423537822	
		2212,5	0,765794034987825	
		2215,625	0,765365875433637	
		2218,75	0,766754726904244	
		2221,875	0,76806144655977	
		2225	0,767863574969365	
		2228,125	0,767423201023244	
		2231,25	0,769313689900716	
		2234,375	0,769913146640769	
		2237,5	0,768359878143251	
		2240,625	0,766345052975005	
		2243,75	0,766917792634174	
		2246,875	0,767912453432054	
		2250	0,769637364477276	
		2253,125	0,769465737850433	
		2256,25	0,771092239670005	
		2259,375	0,769994160420023	
		2262,5	0,770344296535252	
		2265,625	0,770695274800117	
		2268,75	0,772612232734968	
		2271,875	0,772116417509304	
		2275	0,771690516845124	
		2278,125	0,770769374117202	
		2281,25	0,771582331537996	
		2284,375	0,772537890653314	
		2287,5	0,770688552576416	
		2290,625	0,772591082476819	
		2293,75	0,773880295589648	
		2296,875	0,772645196879931	
		2300	0,772671171163717	
		2303,125	0,773875054071503	
		2306,25	0,77424180235458	
		2309,375	0,773821229317677	
		2312,5	0,774868656510845	
		2315,625	0,776005809838979	
		2318,75	0,775720025342527	
		2321,875	0,777859498668236	
		2325	0,776040025139183	
		2328,125	0,776075051592668	
		2331,25	0,776332746862053	
		2334,375	0,775569386962677	
		2337,5	0,776383281277833	
		2340,625	0,778743609318655	
		2343,75	0,776659274332206	
		2346,875	0,777677142635008	
		2350	0,776832874085284	
		2353,125	0,777363047304666	
		2356,25	0,778177411952306	
		2359,375	0,779006088814107	
		2362,5	0,778379469202704	
		2365,625	0,778324615850453	
		2368,75	0,779435187042956	
		2371,875	0,782356687359852	
		2375	0,781716355537035	
		2378,125	0,781690651045084	
		2381,25	0,78101433509859	
		2384,375	0,779878805560153	
		2387,5	0,782259469122836	
		2390,625	0,782703339192515	
		2393,75	0,782478691267176	
		2396,875	0,781661786511369	
		2400	0,782725825904251	
		2403,125	0,782905089276062	
		2406,25	0,782137174676845	
		2409,375	0,782773989252842	
		2412,5	0,784662407882836	
		2415,625	0,785821717206061	
		2418,75	0,785215358830193	
		2421,875	0,784211366713115	
		2425	0,785255900067545	
		2428,125	0,785728589516745	
		2431,25	0,785510920371305	
