Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
384,375	0,768705785274506	840,625	0,714734971523285	384,375	-0,136778831481934	840,625	-0,0260733217000961	
387,5	0,759753882884979	843,75	0,716466784477234	387,5	-0,139276310801506	843,75	-0,0299437250941992	
390,625	0,752885043621063	846,875	0,719349563121796	390,625	-0,144990712404251	846,875	-0,0282231960445642	
393,75	0,759114861488342	850	0,715429365634918	393,75	-0,149583756923676	850	-0,0344243496656418	
396,875	0,762421131134033	853,125	0,715502679347992	396,875	-0,146770417690277	853,125	-0,0308881681412458	
400	0,76910662651062	856,25	0,71413254737854	400	-0,139305472373962	856,25	-0,0235336888581514	
403,125	0,759995520114899	859,375	0,710980832576752	403,125	-0,141954720020294	859,375	-0,0223027318716049	
406,25	0,754646360874176	862,5	0,712895393371582	406,25	-0,142290323972702	862,5	-0,025021294131875	
409,375	0,765191912651062	865,625	0,714749932289124	409,375	-0,143193945288658	865,625	-0,0262388456612825	
412,5	0,761269330978394	868,75	0,714644312858582	412,5	-0,141435161232948	868,75	-0,0253286436200142	
415,625	0,747791826725006	871,875	0,716437935829163	415,625	-0,133340656757355	871,875	-0,0263566337525845	
418,75	0,736558377742767	875	0,716877281665802	418,75	-0,134657666087151	875	-0,0253448728471994	
421,875	0,739338874816895	878,125	0,711639583110809	421,875	-0,135194092988968	878,125	-0,0257334373891354	
425	0,74420702457428	881,25	0,712686657905579	425	-0,146589413285255	881,25	-0,0250908862799406	
428,125	0,761647164821625	884,375	0,712365567684174	428,125	-0,129549205303192	884,375	-0,024582963436842	
431,25	0,754711925983429	887,5	0,711417853832245	431,25	-0,119852110743523	887,5	-0,0218203142285347	
434,375	0,73330157995224	890,625	0,712878227233887	434,375	-0,130352407693863	890,625	-0,0221314541995525	
437,5	0,733210563659668	893,75	0,713919818401337	437,5	-0,13165158033371	893,75	-0,021705249324441	
440,625	0,739896655082703	896,875	0,711591184139252	440,625	-0,135045245289803	896,875	-0,0235438328236341	
443,75	0,735709488391876	900	0,713177561759949	443,75	-0,136897072196007	900	-0,0230111218988895	
