Frequency in Hz	Silk_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
612,5	0,458672674068345	1068,75	0,510906059734826					
615,625	0,461517315517785	1071,875	0,510517219660762					
618,75	0,458046381436369	1075	0,511945796134364					
621,875	0,460860044066908	1078,125	0,511520759243416					
625	0,461379123485884	1081,25	0,513454954640717					
628,125	0,458343156289799	1084,375	0,514313331518622					
631,25	0,458606526437108	1087,5	0,514510159790317					
634,375	0,460311931365407	1090,625	0,514772899491531					
637,5	0,462934902648982	1093,75	0,515326631833151					
640,625	0,460772000963919	1096,875	0,514759015771883					
643,75	0,458721257648268	1100	0,515378596681535					
646,875	0,459981168372086	1103,125	0,515324765511242					
650	0,460774185674133	1106,25	0,519656689673366					
653,125	0,459513031790527	1109,375	0,51945184086236					
656,25	0,457932825227792	1112,5	0,515370351455012					
659,375	0,456075912269771	1115,625	0,51700546163159					
662,5	0,459750249214712	1118,75	0,518495718286993					
665,625	0,45791668320055	1121,875	0,518965373369942					
668,75	0,45935799822821	1125	0,518323184700759					
671,875	0,460127996379713	1128,125	0,518620828551356					
675	0,459940816578618	1131,25	0,518854793864171					
678,125	0,461767649799025	1134,375	0,519344691131599					
681,25	0,460790583073268	1137,5	0,519159212592345					
684,375	0,460875538167324	1140,625	0,517685653111395					
687,5	0,462883092405901	1143,75	0,519909467321451					
690,625	0,462336283682865	1146,875	0,518715973045387					
693,75	0,463014270361371	1150	0,519380141223812					
696,875	0,46470923611873	1153,125	0,520290613698933					
700	0,461647098842854	1156,25	0,522104317254364					
703,125	0,459494118133908	1159,375	0,521539386230451					
706,25	0,462180458767551	1162,5	0,52282433088686					
709,375	0,461430929121007	1165,625	0,524130906921372					
712,5	0,458508655771213	1168,75	0,520793016263847					
715,625	0,461351527537031	1171,875	0,521680057812422					
718,75	0,464114098184112	1175	0,522150588039289					
721,875	0,458927606487775	1178,125	0,521113252009092					
725	0,460800459008985	1181,25	0,522507664048481					
728,125	0,462795864146174	1184,375	0,523222065605999					
731,25	0,459064414749151	1187,5	0,524454185496388					
734,375	0,461038208392307	1190,625	0,528321970390719					
737,5	0,460540608972929	1193,75	0,529520810400697					
740,625	0,460018118915316	1196,875	0,528345027318304					
743,75	0,460422463562711	1200	0,525605602249837					
746,875	0,458437490002036	1203,125	0,527797247887631					
750	0,461827070641113	1206,25	0,526782071493868					
753,125	0,463320114108074	1209,375	0,53059668211009					
756,25	0,463613590398987	1212,5	0,530270465173764					
759,375	0,459838433804832	1215,625	0,527178466130539					
762,5	0,461766592249583	1218,75	0,528419272193344					
765,625	0,463369173205531	1221,875	0,528201056536979					
768,75	0,466952530232002	1225	0,52361937252845					
771,875	0,465560156619724	1228,125	0,533581393313486					
775	0,462809373428028	1231,25	0,534330122040297					
778,125	0,469014759066685	1234,375	0,533376720686399					
781,25	0,464154584734404	1237,5	0,529853273288984					
784,375	0,462440554835089	1240,625	0,526097672447901					
787,5	0,469531981597273	1243,75	0,52944980679327					
790,625	0,465021269157347	1246,875	0,527147366714249					
793,75	0,466772782000525	1250	0,532399435220574					
796,875	0,465848134503715	1253,125	0,533870487583072					
800	0,465061724286068	1256,25	0,533060415762095					
803,125	0,469415042786416	1259,375	0,536531440589311					
806,25	0,46504465857876	1262,5	0,541763018489517					
809,375	0,462229632935539	1265,625	0,535299217548481					
812,5	0,464738762806436	1268,75	0,539007987513957					
815,625	0,466698203639239	1271,875	0,53965143425793					
818,75	0,460982854744916	1275	0,537531927417684					
821,875	0,466513960792534	1278,125	0,53873969840407					
825	0,466319982567576	1281,25	0,54295706807978					
828,125	0,467145983932233	1284,375	0,54060333461845					
831,25	0,470807395126232	1287,5	0,539865893958348					
834,375	0,468656472852816	1290,625	0,540459267366926					
837,5	0,466263535848877	1293,75	0,544276769431501					
840,625	0,465032817401823	1296,875	0,547522105434078					
843,75	0,461054032967811	1300	0,545677172250345					
846,875	0,456601344975081	1303,125	0,544956531005793					
850	0,46257761911695	1306,25	0,54647982946058					
853,125	0,463720959635286	1309,375	0,543380544793544					
856,25	0,465787605853484	1312,5	0,542724157593286					
859,375	0,473818242590974	1315,625	0,547893381475553					
862,5	0,471659776753013	1318,75	0,55039841110758					
865,625	0,464689624759875	1321,875	0,550862003478652					
868,75	0,46252028046679	1325	0,549826723969451					
871,875	0,46003685127093	1328,125	0,554725524859402					
875	0,461527229456494	1331,25	0,553159231480041					
878,125	0,461934123955393	1334,375	0,551002953553187					
881,25	0,463118168180363	1337,5	0,550996599489287					
		1340,625	0,554034478759083					
		1343,75	0,554275640484931					
		1346,875	0,555671023285832					
		1350	0,559202855995899					
		1353,125	0,557002067335903					
		1356,25	0,554331955813001					
		1359,375	0,557493157087416					
		1362,5	0,558667150119094					
		1365,625	0,556519195938986					
		1368,75	0,561525713434389					
		1371,875	0,566135389909237					
		1375	0,566874101161761					
		1378,125	0,565652383788372					
		1381,25	0,567940837034449					
		1384,375	0,571055425221385					
		1387,5	0,572031917754813					
		1390,625	0,573904979058452					
		1393,75	0,574490182614494					
		1396,875	0,577257182542964					
		1400	0,578639090105481					
		1403,125	0,582199419766218					
		1406,25	0,584555924231718					
		1409,375	0,588794728406801					
		1412,5	0,588728128550602					
		1415,625	0,592183017638731					
		1418,75	0,595866696672348					
		1421,875	0,59588613168763					
		1425	0,602580747533811					
		1428,125	0,610255242277206					
		1431,25	0,613232418043997					
		1434,375	0,617701328027765					
		1437,5	0,621754976786089					
		1440,625	0,627102028632002					
		1443,75	0,633566624058629					
		1446,875	0,639874409731824					
		1450	0,648266789525778					
		1453,125	0,655481163333562					
		1456,25	0,663910956936756					
		1459,375	0,667448573286312					
		1462,5	0,680306471911624					
		1465,625	0,689595825691934					
		1468,75	0,700063598111453					
		1471,875	0,711616784957134					
		1475	0,719090779633309					
		1478,125	0,728634283817243					
		1481,25	0,741205738152151					
		1484,375	0,750679740811704					
		1487,5	0,757762432897754					
		1490,625	0,763909898338837					
		1493,75	0,767074368117885					
		1496,875	0,77187747208796					
		1500	0,771782284172844					
		1503,125	0,769054467273299					
		1506,25	0,760104502197389					
		1509,375	0,754639608267614					
		1512,5	0,748407992498368					
		1515,625	0,738072856809216					
		1518,75	0,726851687125744					
		1521,875	0,717048750153474					
		1525	0,703414449605871					
		1528,125	0,693977488926995					
		1531,25	0,683681574969948					
		1534,375	0,672000408306342					
		1537,5	0,662449760031455					
