Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
634,375	0,179636513127954	178,125	0,07802526019596	178,125	0,0733143970886789	634,375	0,289954347023795	634,375	0,40425206582083	178,125	0,0794492449681957	178,125	0,114659348287502	634,375	0,553924375830052	634,375	0,567684558203438	178,125	0,104128170071324	178,125	0,148782664383559	634,375	0,592143599585535	634,375	0,557887355797469	178,125	0,162457903101761	178,125	0,192750222018309	634,375	0,501039282447047	634,375	0,485750842539065																																			
637,5	0,176668350990608	181,25	0,07879779076251	181,25	0,0745232342311642	637,5	0,289773492377202	637,5	0,401289685699341	181,25	0,0810519410958108	181,25	0,117111586238988	637,5	0,554245643233957	637,5	0,568415595532334	181,25	0,106343841001159	181,25	0,151937857525517	637,5	0,592383321201838	637,5	0,557253714938634	181,25	0,165806364115492	181,25	0,196504700061186	637,5	0,499810552109006	637,5	0,484026729952312																																			
640,625	0,176950829886899	184,375	0,0897017781108418	184,375	0,0857709678900942	640,625	0,291878128457581	640,625	0,400832324826708	184,375	0,0924100040910258	184,375	0,129244902897407	640,625	0,555947618024704	640,625	0,570356736916727	184,375	0,1183326084689	184,375	0,164413775287905	640,625	0,593717551107797	640,625	0,557987226862922	184,375	0,178351849361382	184,375	0,208795837128722	640,625	0,500168020259241	640,625	0,483955299988727																																			
643,75	0,17517594588515	187,5	0,100282700168373	187,5	0,0970491785293464	643,75	0,293251405660626	643,75	0,397799113673221	187,5	0,104354636249584	187,5	0,141814263510929	643,75	0,557129749105198	643,75	0,572333438097662	187,5	0,130807021515711	187,5	0,177737031255855	643,75	0,594397989640052	643,75	0,557793165160068	187,5	0,191739515357562	187,5	0,221893861053334	643,75	0,499278111708524	643,75	0,482427862775156																																			
646,875	0,180211518896632	190,625	0,10178163912032	190,625	0,0989556114189826	646,875	0,299293392789305	646,875	0,399588542626367	190,625	0,105767595717048	190,625	0,144620722080967	646,875	0,561253271444782	646,875	0,576784162474786	190,625	0,133527596369363	190,625	0,181150558691592	646,875	0,5978890608	646,875	0,561222735180843	190,625	0,195266811211334	190,625	0,224536944014583	646,875	0,502674583418341	646,875	0,485660093221875																																			
650	0,173980396907896	193,75	0,103703363372496	193,75	0,10146992849728	650	0,296237067331795	650	0,392874221086953	193,75	0,109265962440528	193,75	0,149091511988326	650	0,560160270923346	650	0,576102543845081	193,75	0,13763302141868	193,75	0,186750432352288	650	0,596656653041533	650	0,559185364077693	193,75	0,201054072041215	193,75	0,230802574974286	650	0,499674847866885	650	0,482114436498489																																			
653,125	0,179265131749758	196,875	0,0985724886714209	196,875	0,0965526205548513	653,125	0,302599801772222	653,125	0,394452796368505	196,875	0,104762771463628	196,875	0,145539120361791	653,125	0,56431799874825	653,125	0,580548762431596	196,875	0,133796546600181	196,875	0,184043748534565	653,125	0,600072378615822	653,125	0,562466534651457	196,875	0,198579307082587	196,875	0,228676091163908	653,125	0,502980609778183	653,125	0,485166784270235																																			
656,25	0,183311450819188	200	0,0840421863689764	200	0,0823726417554409	656,25	0,307642957751513	656,25	0,3942937291897	200	0,0913023414843523	200	0,133443223297691	656,25	0,567615174649236	656,25	0,584110406650437	200	0,121355508594235	200	0,173429442883094	656,25	0,602869368291408	656,25	0,564991015846656	200	0,188454509324074	200	0,219273447798473	656,25	0,505514700910651	656,25	0,487423034563039																																			
659,375	0,183340139912711	203,125	0,0758563634664775	203,125	0,0744625532134973	659,375	0,309974105169039	659,375	0,389795036495467	203,125	0,0838966657130675	203,125	0,128131176481945	659,375	0,568926839657654	659,375	0,586034796394315	203,125	0,115569192258526	203,125	0,169787735072649	659,375	0,603583516400517	659,375	0,565252744928839	203,125	0,185377359250531	203,125	0,216609889723067	659,375	0,505211054774328	659,375	0,486823576116107																																			
662,5	0,178198284393167	206,25	0,090050996499533	206,25	0,089155784774317	662,5	0,307313018266729	662,5	0,383427076673502	206,25	0,099384149906773	206,25	0,144132195137777	662,5	0,568281368319589	662,5	0,585813310373666	206,25	0,131556939448084	206,25	0,186371907036821	662,5	0,602754610526589	662,5	0,563806624277884	206,25	0,201815602194291	206,25	0,23299968347727	662,5	0,502940791463415	662,5	0,484195303704683																																			
