Frequency in Hz	Acrylic_95 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95 Sound Absorption Coefficient continuous	
		2128,125	0,984870603350677	
		2131,25	0,984831219338823	
		2134,375	0,984799949646663	
		2137,5	0,984663993921095	
		2140,625	0,984572558376843	
		2143,75	0,98444700555336	
		2146,875	0,984268098547384	
		2150	0,984211662865525	
		2153,125	0,984050383522583	
		2156,25	0,984087237198724	
		2159,375	0,983945736393009	
		2162,5	0,983841386023892	
		2165,625	0,983883540654737	
		2168,75	0,983506863233063	
		2171,875	0,983591713640071	
		2175	0,983569684803288	
		2178,125	0,983320479098115	
		2181,25	0,98336124515895	
		2184,375	0,983119714554066	
		2187,5	0,9829910605955	
		2190,625	0,982839644833428	
		2193,75	0,982855585952734	
		2196,875	0,98271544284256	
		2200	0,982718330258388	
		2203,125	0,982595715116848	
		2206,25	0,982477812404409	
		2209,375	0,98213536111632	
		2212,5	0,981922104421723	
		2215,625	0,981893206542819	
		2218,75	0,981702224534323	
		2221,875	0,981445236672364	
		2225	0,98121332297433	
		2228,125	0,981100752818982	
		2231,25	0,980899732602863	
		2234,375	0,980780078335998	
		2237,5	0,980711978862825	
		2240,625	0,980723387743635	
		2243,75	0,980374328423193	
		2246,875	0,98007408650372	
		2250	0,979940109839295	
		2253,125	0,979600872326583	
		2256,25	0,979485790733925	
		2259,375	0,979401423036709	
		2262,5	0,979050132185265	
		2265,625	0,979065051070195	
		2268,75	0,978781731688987	
		2271,875	0,978719397845459	
		2275	0,978438654907748	
		2278,125	0,978424132285221	
		2281,25	0,978290995277117	
		2284,375	0,977994611402741	
		2287,5	0,977822557388372	
		2290,625	0,977540418229384	
		2293,75	0,977475989604244	
		2296,875	0,977179805509928	
		2300	0,977074358455545	
		2303,125	0,976838753805514	
		2306,25	0,976802057829992	
		2309,375	0,976772788124243	
		2312,5	0,976610374461311	
		2315,625	0,976395737030551	
		2318,75	0,97637717574672	
		2321,875	0,976194198477079	
		2325	0,975824699294469	
		2328,125	0,975727521667623	
		2331,25	0,975551288557646	
		2334,375	0,975427841290048	
		2337,5	0,975342929970181	
		2340,625	0,975223534340264	
		2343,75	0,974715489673985	
		2346,875	0,974667205192666	
		2350	0,974504597970169	
		2353,125	0,974469446482493	
		2356,25	0,974403491676468	
		2359,375	0,974042784481306	
		2362,5	0,974039557861951	
		2365,625	0,974069860923068	
		2368,75	0,973441854716993	
		2371,875	0,973455551907341	
		2375	0,973377139779456	
		2378,125	0,973167011663366	
		2381,25	0,972920241134967	
		2384,375	0,97295556803372	
		2387,5	0,972379162661918	
		2390,625	0,97229885974657	
		2393,75	0,971959066173127	
		2396,875	0,971897722812381	
		2400	0,971930634160907	
		2403,125	0,971706962218846	
		2406,25	0,97156601573573	
		2409,375	0,97131226613103	
		2412,5	0,971184037149434	
		2415,625	0,970659433351759	
		2418,75	0,970577760319466	
		2421,875	0,970234252564373	
		2425	0,96989351441498	
		2428,125	0,969884420936728	
		2431,25	0,970018793139558	
		2434,375	0,969804561861953	
		2437,5	0,969404570316081	
		2440,625	0,969209288389341	
		2443,75	0,968932326495971	
		2446,875	0,968750586539343	
		2450	0,968474571614344	
		2453,125	0,968175103731261	
		2456,25	0,968010756587323	
		2459,375	0,967733886537747	
		2462,5	0,967317759032818	
		2465,625	0,967486206168993	
		2468,75	0,9675281568896	
		2471,875	0,96691407924296	
		2475	0,9667876228388	
		2478,125	0,966738944202355	
		2481,25	0,966325699293262	
		2484,375	0,966277006199565	
		2487,5	0,966116254461194	
		2490,625	0,965543519366908	
		2493,75	0,965362215878879	
		2496,875	0,96492946115816	
		2500	0,964895680876146	
		2503,125	0,964854683083794	
		2506,25	0,964817238720323	
		2509,375	0,964520135733358	
		2512,5	0,964306191836265	
		2515,625	0,963971302007554	
		2518,75	0,963666646370348	
		2521,875	0,963358639534258	
		2525	0,963123981388948	
		2528,125	0,962659533419673	
		2531,25	0,962593473818192	
		2534,375	0,962923587795947	
		2537,5	0,962258337522802	
		2540,625	0,962102853791074	
		2543,75	0,962109745184322	
		2546,875	0,961926918925297	
		2550	0,961742366719112	
		2553,125	0,961416510211097	
		2556,25	0,961205257728903	
		2559,375	0,961078434218779	
		2562,5	0,961077637093831	
		2565,625	0,961032621632852	
		2568,75	0,960341877240637	
		2571,875	0,960287086054524	
		2575	0,960087693025051	
		2578,125	0,959824882184328	
		2581,25	0,9594373804866	
		2584,375	0,959008970885796	
		2587,5	0,958999682320341	
		2590,625	0,958879792603738	
		2593,75	0,958334315354974	
		2596,875	0,958336848350427	
		2600	0,958354481254059	
		2603,125	0,958342151043487	
		2606,25	0,958389115463214	
		2609,375	0,958507472651243	
		2612,5	0,958551897343748	
		2615,625	0,958230879328377	
		2618,75	0,958183071938313	
		2621,875	0,958407955192813	
		2625	0,958001768538596	
		2628,125	0,957843799126448	
		2631,25	0,957605910789116	
		2634,375	0,957571077034469	
		2637,5	0,957274955309461	
		2640,625	0,956706616651967	
		2643,75	0,956527854743989	
		2646,875	0,956002034555158	
		2650	0,955864486911316	
		2653,125	0,955531909399834	
		2656,25	0,954932729922438	
		2659,375	0,954823858608283	
		2662,5	0,954666570444597	
