frequency f in Hz; re(r) ; im(r)
579.000000;0.595193;-0.339907
580.000000;0.594670;-0.339947
581.000000;0.593723;-0.338742
582.000000;0.591892;-0.338783
583.000000;0.591654;-0.336969
584.000000;0.591649;-0.337838
585.000000;0.590933;-0.339710
586.000000;0.590187;-0.338728
587.000000;0.589596;-0.340496
588.000000;0.590107;-0.340573
589.000000;0.589377;-0.339733
590.000000;0.588173;-0.339324
591.000000;0.588705;-0.339720
592.000000;0.586634;-0.339082
593.000000;0.586762;-0.337907
594.000000;0.585692;-0.338406
595.000000;0.584484;-0.340669
596.000000;0.584119;-0.338941
597.000000;0.582889;-0.339346
598.000000;0.582661;-0.337675
599.000000;0.582361;-0.336704
600.000000;0.581906;-0.337454
601.000000;0.579722;-0.338353
602.000000;0.578857;-0.336321
603.000000;0.578283;-0.338294
604.000000;0.579368;-0.339366
605.000000;0.578023;-0.338561
606.000000;0.577478;-0.339267
607.000000;0.576187;-0.338133
608.000000;0.574669;-0.337108
609.000000;0.575347;-0.337465
610.000000;0.572769;-0.336809
611.000000;0.571371;-0.338816
612.000000;0.572397;-0.337600
613.000000;0.571996;-0.337417
614.000000;0.570647;-0.336537
615.000000;0.568968;-0.334787
616.000000;0.567947;-0.336770
617.000000;0.567688;-0.337541
618.000000;0.566022;-0.337651
619.000000;0.564244;-0.336299
620.000000;0.564277;-0.334939
621.000000;0.563706;-0.332444
622.000000;0.563773;-0.333448
623.000000;0.563800;-0.332930
624.000000;0.562241;-0.332126
625.000000;0.561685;-0.330923
626.000000;0.561073;-0.331321
627.000000;0.560528;-0.330311
628.000000;0.560837;-0.330530
629.000000;0.559967;-0.331977
630.000000;0.559239;-0.329927
631.000000;0.560201;-0.329267
632.000000;0.559347;-0.329371
633.000000;0.556793;-0.327910
634.000000;0.556553;-0.327808
635.000000;0.557144;-0.327332
636.000000;0.556602;-0.326216
637.000000;0.556490;-0.325516
638.000000;0.556904;-0.325319
639.000000;0.555051;-0.325952
640.000000;0.554452;-0.326389
641.000000;0.554379;-0.325912
642.000000;0.552461;-0.324109
643.000000;0.553787;-0.324664
644.000000;0.553646;-0.324434
645.000000;0.552637;-0.323268
646.000000;0.552781;-0.323954
647.000000;0.551931;-0.323940
648.000000;0.552223;-0.324310
649.000000;0.551873;-0.323934
650.000000;0.550520;-0.324213
651.000000;0.550435;-0.322912
652.000000;0.550037;-0.323589
653.000000;0.550584;-0.322646
654.000000;0.551178;-0.323309
655.000000;0.549633;-0.322111
656.000000;0.548052;-0.321700
657.000000;0.548099;-0.320926
658.000000;0.547187;-0.321989
659.000000;0.547485;-0.320671
660.000000;0.547595;-0.320833
661.000000;0.546984;-0.319715
662.000000;0.546579;-0.319646
663.000000;0.547110;-0.319876
664.000000;0.545485;-0.318919
665.000000;0.544587;-0.319261
666.000000;0.544145;-0.318950
667.000000;0.544825;-0.318231
668.000000;0.544664;-0.318411
669.000000;0.543866;-0.319883
670.000000;0.544347;-0.320036
671.000000;0.542309;-0.318413
672.000000;0.540775;-0.318843
673.000000;0.539880;-0.317910
674.000000;0.541067;-0.316755
675.000000;0.541986;-0.316114
676.000000;0.542365;-0.316406
677.000000;0.540953;-0.316014
678.000000;0.538450;-0.316031
679.000000;0.537150;-0.315789
680.000000;0.538848;-0.316129
681.000000;0.538400;-0.316193
682.000000;0.537763;-0.314753
683.000000;0.537553;-0.315122
684.000000;0.536968;-0.315546
685.000000;0.537106;-0.315347
686.000000;0.535522;-0.315098
687.000000;0.534897;-0.314499
688.000000;0.536290;-0.313549
689.000000;0.534436;-0.312002
690.000000;0.533883;-0.313388
691.000000;0.532981;-0.314164
692.000000;0.532718;-0.314769
693.000000;0.532263;-0.312416
694.000000;0.532768;-0.312962
695.000000;0.533359;-0.311772
696.000000;0.532481;-0.310836
697.000000;0.530919;-0.312324
698.000000;0.529931;-0.311780
699.000000;0.529979;-0.313393
700.000000;0.530601;-0.312460
701.000000;0.530436;-0.310765
702.000000;0.530598;-0.311721
703.000000;0.530317;-0.311364
704.000000;0.529985;-0.310322
705.000000;0.529357;-0.311467
706.000000;0.528818;-0.312373
707.000000;0.527603;-0.310824
708.000000;0.527795;-0.310242
709.000000;0.526102;-0.308642
710.000000;0.525228;-0.309553
711.000000;0.524482;-0.309021
712.000000;0.520670;-0.308084
713.000000;0.522536;-0.307407
714.000000;0.527324;-0.308342
715.000000;0.525647;-0.307487
716.000000;0.524323;-0.306352
717.000000;0.524291;-0.304993
718.000000;0.522235;-0.305504
719.000000;0.520988;-0.307163
720.000000;0.520860;-0.307192
721.000000;0.520603;-0.303677
722.000000;0.520314;-0.303465
723.000000;0.518817;-0.305334
724.000000;0.519668;-0.303875
725.000000;0.519873;-0.305196
726.000000;0.518348;-0.304377
727.000000;0.518710;-0.304356
728.000000;0.518160;-0.305122
729.000000;0.518556;-0.303814
730.000000;0.516352;-0.302546
731.000000;0.514484;-0.300363
732.000000;0.516138;-0.300820
733.000000;0.516998;-0.303345
734.000000;0.516494;-0.301288
735.000000;0.516330;-0.302238
736.000000;0.514614;-0.303351
737.000000;0.514327;-0.302657
738.000000;0.514028;-0.301684
739.000000;0.513850;-0.300656
740.000000;0.512966;-0.300615
741.000000;0.511411;-0.299344
742.000000;0.511463;-0.298003
743.000000;0.514075;-0.296731
744.000000;0.514278;-0.299370
745.000000;0.513208;-0.300660
746.000000;0.512056;-0.298374
747.000000;0.512746;-0.297596
748.000000;0.511859;-0.299208
749.000000;0.511209;-0.298668
750.000000;0.507806;-0.294994
751.000000;0.510495;-0.296482
752.000000;0.513034;-0.297463
753.000000;0.511003;-0.295170
754.000000;0.507579;-0.297403
755.000000;0.507595;-0.297879
756.000000;0.506845;-0.297582
757.000000;0.505369;-0.296993
758.000000;0.505955;-0.296754
759.000000;0.504585;-0.295388
760.000000;0.504194;-0.296007
761.000000;0.505319;-0.291899
762.000000;0.506327;-0.290309
763.000000;0.506182;-0.292733
764.000000;0.506238;-0.295249
765.000000;0.503969;-0.293801
766.000000;0.504024;-0.292121
767.000000;0.505427;-0.289748
768.000000;0.503929;-0.291752
769.000000;0.502145;-0.293022
770.000000;0.504118;-0.293964
771.000000;0.502558;-0.290236
772.000000;0.502792;-0.291330
773.000000;0.503445;-0.289843
774.000000;0.504572;-0.289569
775.000000;0.502090;-0.291572
776.000000;0.501300;-0.290481
777.000000;0.500611;-0.288892
778.000000;0.501002;-0.289623
779.000000;0.497923;-0.288962
780.000000;0.498787;-0.288765
781.000000;0.494400;-0.287921
782.000000;0.495825;-0.287716
783.000000;0.498454;-0.288022
784.000000;0.495816;-0.288033
785.000000;0.495269;-0.284935
786.000000;0.498452;-0.282190
787.000000;0.498560;-0.284799
788.000000;0.499091;-0.284401
789.000000;0.493996;-0.285586
790.000000;0.492938;-0.286022
791.000000;0.495531;-0.288680
792.000000;0.497182;-0.287163
793.000000;0.497499;-0.286807
794.000000;0.493390;-0.282011
795.000000;0.492928;-0.281316
796.000000;0.493266;-0.282218
797.000000;0.493971;-0.285728
798.000000;0.495750;-0.282106
799.000000;0.493111;-0.282490
800.000000;0.492764;-0.282448
801.000000;0.491696;-0.281135
802.000000;0.491985;-0.281318
803.000000;0.491026;-0.284826
804.000000;0.490055;-0.286377
805.000000;0.492099;-0.280500
806.000000;0.490277;-0.280398
807.000000;0.491563;-0.284885
808.000000;0.490150;-0.282386
809.000000;0.490936;-0.277972
810.000000;0.490233;-0.276634
811.000000;0.491097;-0.277863
812.000000;0.491702;-0.274745
813.000000;0.487069;-0.278163
814.000000;0.487735;-0.281419
815.000000;0.486359;-0.280081
816.000000;0.484364;-0.277292
817.000000;0.486566;-0.272862
818.000000;0.484306;-0.269821
819.000000;0.489432;-0.269309
820.000000;0.490326;-0.274683
821.000000;0.487884;-0.277411
822.000000;0.486234;-0.277269
823.000000;0.485931;-0.281419
824.000000;0.481829;-0.279093
825.000000;0.482553;-0.276066
826.000000;0.488034;-0.274094
827.000000;0.486951;-0.271654
828.000000;0.478668;-0.272258
829.000000;0.479411;-0.273113
830.000000;0.483885;-0.273694
831.000000;0.484604;-0.278441
832.000000;0.484575;-0.278727
833.000000;0.484778;-0.273700
834.000000;0.486588;-0.270714
835.000000;0.483762;-0.272488
836.000000;0.482782;-0.273139
837.000000;0.480836;-0.269469
838.000000;0.483127;-0.267265
839.000000;0.481851;-0.271450
840.000000;0.477419;-0.272242
841.000000;0.478840;-0.270109
842.000000;0.478207;-0.275281
843.000000;0.475539;-0.273777
844.000000;0.477649;-0.271432
845.000000;0.475645;-0.272342
846.000000;0.472904;-0.270354
847.000000;0.480421;-0.267814
848.000000;0.479220;-0.266528
849.000000;0.478041;-0.266429
850.000000;0.476804;-0.272523
851.000000;0.476527;-0.270250
852.000000;0.476948;-0.270294
853.000000;0.473651;-0.267133
854.000000;0.472994;-0.267919
855.000000;0.473604;-0.267275
856.000000;0.475157;-0.268006
857.000000;0.477013;-0.267196
858.000000;0.477999;-0.267030
859.000000;0.475897;-0.267589
860.000000;0.473630;-0.265974
861.000000;0.476421;-0.264061
862.000000;0.474597;-0.264591
863.000000;0.474230;-0.266262
864.000000;0.473846;-0.263624
865.000000;0.474304;-0.261742
866.000000;0.473278;-0.265003
867.000000;0.469842;-0.268884
868.000000;0.472525;-0.268245
869.000000;0.473113;-0.268980
870.000000;0.473602;-0.266964
871.000000;0.472418;-0.262315
872.000000;0.472577;-0.262037
873.000000;0.473400;-0.266869
874.000000;0.471732;-0.264308
875.000000;0.469515;-0.266577
876.000000;0.468646;-0.264247
877.000000;0.469030;-0.260531
878.000000;0.472726;-0.259143
879.000000;0.470739;-0.262162
880.000000;0.468154;-0.262477
881.000000;0.469975;-0.262338
882.000000;0.470320;-0.260023
883.000000;0.469422;-0.260553
884.000000;0.469717;-0.261246
885.000000;0.469557;-0.257167
886.000000;0.467297;-0.257328
887.000000;0.464429;-0.258797
888.000000;0.466194;-0.258920
889.000000;0.467821;-0.262937
890.000000;0.463758;-0.263531
891.000000;0.464000;-0.258731
892.000000;0.464167;-0.263867
893.000000;0.464497;-0.264012
894.000000;0.465218;-0.267403
895.000000;0.464835;-0.266761
896.000000;0.465802;-0.262537
897.000000;0.463820;-0.262076
898.000000;0.462796;-0.261677
899.000000;0.460861;-0.260501
900.000000;0.465526;-0.262761
901.000000;0.466651;-0.262422
902.000000;0.464232;-0.259482
903.000000;0.461133;-0.257867
904.000000;0.461616;-0.259056
905.000000;0.464152;-0.262437
906.000000;0.461177;-0.260458
907.000000;0.459458;-0.259989
908.000000;0.461027;-0.258661
909.000000;0.459170;-0.257252
910.000000;0.458425;-0.254858
911.000000;0.458601;-0.254569
912.000000;0.458389;-0.259166
913.000000;0.460690;-0.260898
914.000000;0.459622;-0.258694
915.000000;0.460744;-0.256832
916.000000;0.460951;-0.254711
917.000000;0.457934;-0.255324
918.000000;0.459312;-0.259508
919.000000;0.459972;-0.259012
920.000000;0.459697;-0.255061
921.000000;0.461205;-0.253925
922.000000;0.460205;-0.254373
923.000000;0.460281;-0.255227
924.000000;0.460537;-0.252166
925.000000;0.460558;-0.253973
926.000000;0.458327;-0.255560
927.000000;0.458602;-0.250866
928.000000;0.458769;-0.250853
929.000000;0.457222;-0.253725
930.000000;0.455301;-0.253756
931.000000;0.456644;-0.255437
932.000000;0.455920;-0.255588
933.000000;0.456971;-0.254579
934.000000;0.455462;-0.253591
935.000000;0.454614;-0.251618
936.000000;0.454806;-0.251791
937.000000;0.454867;-0.252387
938.000000;0.456552;-0.253045
939.000000;0.456581;-0.252161
940.000000;0.456552;-0.252426
941.000000;0.455771;-0.251300
942.000000;0.454436;-0.252905
943.000000;0.454879;-0.252867
944.000000;0.454043;-0.252119
945.000000;0.452840;-0.251898
946.000000;0.454349;-0.252053
947.000000;0.453053;-0.252517
948.000000;0.452944;-0.252677
949.000000;0.453212;-0.251753
950.000000;0.454691;-0.250971
951.000000;0.452144;-0.251160
952.000000;0.452718;-0.249695
953.000000;0.450994;-0.250609
954.000000;0.451952;-0.248964
955.000000;0.451933;-0.247675
956.000000;0.450523;-0.249955
957.000000;0.449668;-0.250224
958.000000;0.449823;-0.248210
959.000000;0.450740;-0.248777
960.000000;0.451033;-0.248508
961.000000;0.450299;-0.248403
962.000000;0.450493;-0.247213
963.000000;0.449392;-0.245305
964.000000;0.448181;-0.245947
965.000000;0.448691;-0.246240
966.000000;0.447624;-0.246694
967.000000;0.446957;-0.246199
968.000000;0.448466;-0.246323
969.000000;0.447317;-0.245795
