Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
696,875	2,54994869232178	696,875	-2,01109981536865	
700	2,5401017665863	700	-1,99830913543701	
703,125	2,53897190093994	703,125	-1,99655425548553	
706,25	2,55085515975952	706,25	-1,99010097980499	
709,375	2,55335235595703	709,375	-1,97170889377594	
712,5	2,52158665657043	712,5	-1,96974754333496	
715,625	2,54380297660828	715,625	-1,97131597995758	
718,75	2,54319047927856	718,75	-1,97088420391083	
721,875	2,5400083065033	721,875	-1,95549857616425	
725	2,54148197174072	725	-1,95772266387939	
728,125	2,53853845596313	728,125	-1,93917977809906	
731,25	2,54244947433472	731,25	-1,94107568264008	
734,375	2,54422235488892	734,375	-1,93102359771729	
737,5	2,54796195030212	737,5	-1,93223428726196	
740,625	2,5402524471283	740,625	-1,91012716293335	
743,75	2,53333520889282	743,75	-1,89408206939697	
746,875	2,52383041381836	746,875	-1,90784156322479	
750	2,52447628974915	750	-1,90270757675171	
753,125	2,53394865989685	753,125	-1,8935512304306	
756,25	2,53464341163635	756,25	-1,88179659843445	
759,375	2,54114460945129	759,375	-1,86000227928162	
762,5	2,54784727096558	762,5	-1,86843907833099	
765,625	2,54639554023743	765,625	-1,85919177532196	
768,75	2,52679586410522	768,75	-1,86084997653961	
771,875	2,52282238006592	771,875	-1,84560918807983	
775	2,53977084159851	775	-1,84337902069092	
778,125	2,54246640205383	778,125	-1,82852935791016	
781,25	2,53152561187744	781,25	-1,82802772521973	
784,375	2,52204918861389	784,375	-1,8183878660202	
787,5	2,5133581161499	787,5	-1,81654417514801	
790,625	2,51721167564392	790,625	-1,81262052059174	
793,75	2,53107142448425	793,75	-1,8055454492569	
796,875	2,53798842430115	796,875	-1,80081236362457	
800	2,53288912773132	800	-1,79633390903473	
803,125	2,55101370811462	803,125	-1,79553723335266	
806,25	2,5343930721283	806,25	-1,79470360279083	
809,375	2,50463771820068	809,375	-1,78472948074341	
812,5	2,53451585769653	812,5	-1,77995479106903	
815,625	2,54634141921997	815,625	-1,76621329784393	
818,75	2,52391171455383	818,75	-1,76152670383453	
821,875	2,53313875198364	821,875	-1,74974131584167	
825	2,57002997398376	825	-1,73846483230591	
828,125	2,55932760238647	828,125	-1,7343544960022	
831,25	2,57474827766418	831,25	-1,67629504203796	
834,375	2,52771854400635	834,375	-1,71499800682068	
837,5	2,52893924713135	837,5	-1,7339940071106	
840,625	2,52992963790894	840,625	-1,72984778881073	
843,75	2,5235230922699	843,75	-1,71800649166107	
846,875	2,53550148010254	846,875	-1,73960018157959	
850	2,54356122016907	850	-1,74195265769958	
853,125	2,56933259963989	853,125	-1,72459197044373	
856,25	2,56509757041931	856,25	-1,69445824623108	
859,375	2,55204558372498	859,375	-1,67975902557373	
862,5	2,55073237419128	862,5	-1,68755972385406	
865,625	2,55966281890869	865,625	-1,69217240810394	
868,75	2,57229208946228	868,75	-1,69926834106445	
871,875	2,55527424812317	871,875	-1,70040786266327	
875	2,56601929664612	875	-1,68405771255493	
878,125	2,55850648880005	878,125	-1,68437325954437	
881,25	2,55278277397156	881,25	-1,6794331073761	
884,375	2,77611756324768	884,375	-1,48256683349609	
887,5	2,76723575592041	887,5	-1,45585250854492	
890,625	2,76088500022888	890,625	-1,46632015705109	
893,75	2,77465319633484	893,75	-1,49239122867584	
896,875	2,76024270057678	896,875	-1,48289918899536	
900	2,77470350265503	900	-1,46865141391754	
903,125	2,76040601730347	903,125	-1,45133364200592	
906,25	2,76655650138855	906,25	-1,44732594490051	
909,375	2,78400659561157	909,375	-1,46107053756714	
912,5	2,76713156700134	912,5	-1,47404038906097	
915,625	2,76131200790405	915,625	-1,46480274200439	
918,75	2,75883316993713	918,75	-1,44736957550049	
921,875	2,75559782981873	921,875	-1,42489242553711	
925	2,75888824462891	925	-1,423748254776	
928,125	2,78102469444275	928,125	-1,42837297916412	
931,25	2,74506640434265	931,25	-1,42624032497406	
934,375	2,75203728675842	934,375	-1,42395758628845	
937,5	2,74722814559937	937,5	-1,41961538791656	
940,625	2,75328230857849	940,625	-1,41199350357056	
943,75	2,73762822151184	943,75	-1,42245554924011	
946,875	2,73884630203247	946,875	-1,4141252040863	
950	2,74138259887695	950	-1,40297949314117	
953,125	2,75119996070862	953,125	-1,39587771892548	
956,25	2,74153614044189	956,25	-1,38970375061035	
959,375	2,72812509536743	959,375	-1,39080011844635	
962,5	2,7271876335144	962,5	-1,39484357833862	
965,625	2,72900009155273	965,625	-1,38895165920258	
968,75	2,74088406562805	968,75	-1,39332711696625	
971,875	2,72012972831726	971,875	-1,39033162593842	
975	2,72360634803772	975	-1,38042783737183	
978,125	2,72163510322571	978,125	-1,37704002857208	
981,25	2,70890998840332	981,25	-1,36705791950226	
984,375	2,71409010887146	984,375	-1,37485074996948	
987,5	2,71316027641296	987,5	-1,37202942371368	
990,625	2,71121668815613	990,625	-1,36345386505127	
993,75	2,70140671730042	993,75	-1,37923467159271	
996,875	2,70250082015991	996,875	-1,37483048439026	
1000	2,69200348854065	1000	-1,37876117229462	
1003,125	2,69412207603455	1003,125	-1,36762237548828	
1006,25	2,68986821174622	1006,25	-1,36374115943909	
1009,375	2,67818856239319	1009,375	-1,36382448673248	
1012,5	2,68233799934387	1012,5	-1,35911333560944	
1015,625	2,68664050102234	1015,625	-1,36424601078033	
1018,75	2,66350507736206	1018,75	-1,36784446239471	
1021,875	2,66858172416687	1021,875	-1,36102831363678	
1025	2,65246057510376	1025	-1,35899806022644	
1028,125	2,65441966056824	1028,125	-1,35660421848297	
1031,25	2,66003179550171	1031,25	-1,36070501804352	
1034,375	2,64777898788452	1034,375	-1,3615437746048	
1037,5	2,64059114456177	1037,5	-1,35838770866394	
1040,625	2,63242268562317	1040,625	-1,36145150661469	
1043,75	2,63002967834473	1043,75	-1,35669553279877	
1046,875	2,62417435646057	1046,875	-1,35352468490601	
1050	2,61400008201599	1050	-1,36283791065216	
1053,125	2,61203002929688	1053,125	-1,37027311325073	
1056,25	2,59496831893921	1056,25	-1,36498725414276	
1059,375	2,59800696372986	1059,375	-1,36591649055481	
1062,5	2,59016442298889	1062,5	-1,3697292804718	
1065,625	2,57096362113953	1065,625	-1,37420296669006	
1068,75	2,56791472434998	1068,75	-1,36067867279053	
1071,875	2,55848169326782	1071,875	-1,36175918579102	
1075	2,5534827709198	1075	-1,36808550357819	
1078,125	2,54276919364929	1078,125	-1,37916970252991	
1081,25	2,50863981246948	1081,25	-1,36709272861481	
1084,375	2,50996732711792	1084,375	-1,3699791431427	
1087,5	2,50015425682068	1087,5	-1,37042903900146	
1090,625	2,49180793762207	1090,625	-1,36775290966034	
1093,75	2,4750645160675	1093,75	-1,37204372882843	
1096,875	2,45599889755249	1096,875	-1,36650550365448	
1100	2,43897747993469	1100	-1,36449384689331	
1103,125	2,41929125785828	1103,125	-1,36672556400299	
1106,25	2,41643953323364	1106,25	-1,35579013824463	
1109,375	2,38565254211426	1109,375	-1,36619329452515	
1112,5	2,38017535209656	1112,5	-1,36712300777435	
1115,625	2,35374784469604	1115,625	-1,34289216995239	
1118,75	2,3312611579895	1118,75	-1,3682302236557	
1121,875	2,32618761062622	1121,875	-1,35437738895416	
1125	2,29993057250977	1125	-1,35849142074585	
