Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
918,75	0,344658076763153	918,75	-0,499387562274933	
921,875	0,338763296604156	921,875	-0,499502331018448	
925	0,337389975786209	925	-0,495752364397049	
928,125	0,336299687623978	928,125	-0,494741082191467	
931,25	0,33497154712677	931,25	-0,493605256080627	
934,375	0,333692014217377	934,375	-0,491154670715332	
937,5	0,329641819000244	937,5	-0,490682184696198	
940,625	0,327357143163681	940,625	-0,486960530281067	
943,75	0,326435029506683	943,75	-0,483495801687241	
946,875	0,325376927852631	946,875	-0,481205493211746	
950	0,324394404888153	950	-0,479772329330444	
953,125	0,320659816265106	953,125	-0,477439850568771	
956,25	0,319317221641541	956,25	-0,474498867988586	
959,375	0,317037582397461	959,375	-0,472319096326828	
962,5	0,314870893955231	962,5	-0,471595287322998	
965,625	0,31494015455246	965,625	-0,469253361225128	
968,75	0,314491301774979	968,75	-0,46840763092041	
971,875	0,310871183872223	971,875	-0,467450082302094	
975	0,307961910963058	975	-0,465264052152634	
978,125	0,307973682880402	978,125	-0,464978009462357	
981,25	0,304715245962143	981,25	-0,462059408426285	
984,375	0,304421544075012	984,375	-0,461891084909439	
987,5	0,304348409175873	987,5	-0,460645794868469	
990,625	0,301768958568573	990,625	-0,458687394857407	
993,75	0,300737231969833	993,75	-0,459513038396835	
996,875	0,299186587333679	996,875	-0,456215023994446	
1000	0,297384291887283	1000	-0,454545676708221	
1003,125	0,2967189848423	1003,125	-0,453496992588043	
1006,25	0,294642150402069	1006,25	-0,451186269521713	
1009,375	0,293755650520325	1009,375	-0,450988590717316	
1012,5	0,292015582323074	1012,5	-0,451158702373505	
1015,625	0,291553109884262	1015,625	-0,446381747722626	
1018,75	0,287448912858963	1018,75	-0,447233438491821	
1021,875	0,288202732801437	1021,875	-0,446331053972244	
1025	0,285706222057343	1025	-0,445976912975311	
1028,125	0,284827172756195	1028,125	-0,444149255752563	
1031,25	0,283697247505188	1031,25	-0,444143801927567	
1034,375	0,282976388931274	1034,375	-0,443091750144959	
1037,5	0,279368162155151	1037,5	-0,442245036363602	
1040,625	0,279117286205292	1040,625	-0,441384762525558	
1043,75	0,277359127998352	1043,75	-0,440185755491257	
1046,875	0,277172982692719	1046,875	-0,440140724182129	
1050	0,274284213781357	1050	-0,439854055643082	
1053,125	0,274278312921524	1053,125	-0,441053777933121	
1056,25	0,270884782075882	1056,25	-0,44059357047081	
