Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	
618,75	0,53395140087205	162,5	0,0652745684456334	618,75	0,48365990112906	162,5	0,0724934644312344	162,5	0,0702833433246043	618,75	0,466997750444019	618,75	0,405740448913677	162,5	0,0624057959695052	162,5	0,0659278295079113	618,75	0,361074006384684	618,75	0,298963223155477	162,5	0,0590069201634486	162,5	0,0641422709937852	618,75	0,228235844553167	618,75	0,171010093267306	162,5	0,0684744457560955																																	
621,875	0,53919126020637	165,625	0,0785059291799405	621,875	0,485103574286064	165,625	0,0823362551266754	165,625	0,0802227279750926	621,875	0,468199384544433	621,875	0,406688618938537	165,625	0,0721488747963418	165,625	0,0755018551459687	621,875	0,361375664447541	621,875	0,298742540135173	165,625	0,0686272712901125	165,625	0,0734700243305301	621,875	0,227129555189143	621,875	0,169193456776253	165,625	0,0772465931591224																																	
625	0,541181161103518	168,75	0,0997750345315475	625	0,490986991148347	168,75	0,0801521864034499	168,75	0,0779327863330331	625	0,47388065774682	625	0,412628513416667	168,75	0,0694260354246332	168,75	0,0730285772995958	625	0,367169507036043	625	0,304429792855952	168,75	0,0656129665738596	168,75	0,0705947748096915	625	0,232935252868424	625	0,174504370012814	168,75	0,0744138719263414																																	
628,125	0,541291130527165	171,875	0,103989496906769	628,125	0,493517903992987	171,875	0,0932177902270287	171,875	0,0908811581839954	628,125	0,475952908399034	628,125	0,414429299521252	171,875	0,0823723224416466	171,875	0,0858792099490346	628,125	0,368457650069197	628,125	0,305155940712998	171,875	0,0779672141740381	171,875	0,083131911979197	628,125	0,232930938785253	628,125	0,173502425736176	171,875	0,0868645319015874																																	
631,25	0,544502672153501	175	0,0915258824326236	631,25	0,50029211298305	175	0,102276122030592	175	0,0998024136240494	631,25	0,482582937903478	631,25	0,421413830138801	175	0,0909450873897967	175	0,0943532799189913	631,25	0,375088637505316	631,25	0,311968350758922	175	0,0867773906515106	175	0,0911879834972408	631,25	0,239862833760867	631,25	0,179822435226357	175	0,094689040481212																																	
634,375	0,547825065948226	178,125	0,0927880236620495	634,375	0,503142407298582	178,125	0,086642334806417	178,125	0,0840367258673584	634,375	0,485177249952564	634,375	0,42373928713773	178,125	0,0746856609776786	178,125	0,0780081544350647	634,375	0,376777262198009	634,375	0,313318298332234	178,125	0,0701041185799924	178,125	0,0746941005340359	634,375	0,240668006308222	634,375	0,179636513127954	178,125	0,07802526019596																																	
637,5	0,552745133537034	181,25	0,0941207059556324	637,5	0,504082684486433	181,25	0,0882897415581965	181,25	0,0855745144469381	637,5	0,485774144701739	637,5	0,423961474124403	181,25	0,0759876714648483	181,25	0,0793035219696875	637,5	0,376267194839753	637,5	0,312304034893545	181,25	0,0713422476901961	181,25	0,0756621734862556	637,5	0,23882062396838	637,5	0,176668350990608	181,25	0,07879779076251																																	
640,625	0,554545827110357	184,375	0,105742240928087	640,625	0,506503071140567	184,375	0,0999106803417752	184,375	0,0971126696132119	640,625	0,487980457497147	640,625	0,42616920044459	184,375	0,0871825392601142	184,375	0,0905996034913343	640,625	0,377996018693307	640,625	0,313746475877551	184,375	0,0823720144836182	184,375	0,0867070833997758	640,625	0,23972078165858	640,625	0,176950829886899	184,375	0,0897017781108418																																	
643,75	0,559065168582391	187,5	0,108889784371947	643,75	0,508895544392038	187,5	0,111861966374455	187,5	0,109112145646898	643,75	0,490347200394287	643,75	0,428338007945126	187,5	0,0988187762162408	187,5	0,101996398329115	643,75	0,378999815159892	643,75	0,314319797295906	187,5	0,0938277340339674	187,5	0,0978412343029702	643,75	0,239294769475271	643,75	0,17517594588515	187,5	0,100282700168373																																	
646,875	0,562882748999563	190,625	0,110069458879403	646,875	0,513937601153584	190,625	0,114245844913688	190,625	0,111488923794409	646,875	0,495588123651344	646,875	0,433771853287509	190,625	0,100971111911286	190,625	0,104007595669377	646,875	0,38426786441745	646,875	0,319837601615964	190,625	0,0947521026082656	190,625	0,0995441961446988	646,875	0,244788227189631	646,875	0,180211518896632	190,625	0,10178163912032																																	
