Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
643,75	0,599703192710876	643,75	-0,513851940631866	
646,875	0,596692681312561	646,875	-0,512848913669586	
650	0,5956991314888	650	-0,515992283821106	
653,125	0,59243381023407	653,125	-0,514779269695282	
656,25	0,589460492134094	656,25	-0,51434314250946	
659,375	0,585506319999695	659,375	-0,516644656658173	
662,5	0,586130499839783	662,5	-0,517670750617981	
665,625	0,584021091461182	665,625	-0,51994800567627	
668,75	0,579794406890869	668,75	-0,519498646259308	
671,875	0,578279078006744	671,875	-0,518056631088257	
675	0,573084056377411	675	-0,519476115703583	
678,125	0,569324314594269	678,125	-0,520257592201233	
681,25	0,568309664726257	681,25	-0,520961284637451	
684,375	0,566839814186096	684,375	-0,521574854850769	
687,5	0,567671895027161	687,5	-0,523534059524536	
690,625	0,558789432048798	690,625	-0,52725088596344	
693,75	0,560392141342163	693,75	-0,524662256240845	
696,875	0,558273911476135	696,875	-0,525059103965759	
700	0,553659498691559	700	-0,525557994842529	
703,125	0,551815569400787	703,125	-0,527116894721985	
706,25	0,551577091217041	706,25	-0,526788592338562	
709,375	0,548405349254608	709,375	-0,525643050670624	
712,5	0,54075288772583	712,5	-0,529519557952881	
715,625	0,542693018913269	715,625	-0,529011905193329	
718,75	0,541192531585693	718,75	-0,530654609203339	
721,875	0,537516534328461	721,875	-0,529571235179901	
725	0,536189615726471	725	-0,531685709953308	
728,125	0,531764328479767	728,125	-0,53007584810257	
731,25	0,531384825706482	731,25	-0,531229794025421	
734,375	0,529126048088074	734,375	-0,531175315380096	
737,5	0,528960049152374	737,5	-0,53232729434967	
740,625	0,52302497625351	740,625	-0,530403137207031	
743,75	0,518508493900299	743,75	-0,529812037944794	
746,875	0,516574025154114	746,875	-0,535790205001831	
750	0,51514083147049	750	-0,53627872467041	
753,125	0,514638066291809	753,125	-0,534536004066467	
756,25	0,512520730495453	756,25	-0,533393323421478	
759,375	0,511107802391052	759,375	-0,531610608100891	
762,5	0,511549890041351	762,5	-0,533620059490204	
765,625	0,508575856685638	765,625	-0,532743632793427	
768,75	0,50356388092041	768,75	-0,536423742771149	
771,875	0,498719215393066	771,875	-0,535036683082581	
775	0,500147759914398	775	-0,535311162471771	
778,125	0,498505353927612	778,125	-0,53404176235199	
781,25	0,495038658380508	781,25	-0,536225259304047	
784,375	0,491188406944275	784,375	-0,536290287971497	
787,5	0,487377107143402	787,5	-0,537760734558105	
790,625	0,486063688993454	790,625	-0,538094937801361	
793,75	0,486486792564392	793,75	-0,537107586860657	
796,875	0,486542612314224	796,875	-0,53837251663208	
800	0,483283579349518	800	-0,538728415966034	
803,125	0,484855890274048	803,125	-0,539688408374786	
806,25	0,480752378702164	806,25	-0,539843082427979	
809,375	0,470781326293945	809,375	-0,5410315990448	
812,5	0,47725847363472	812,5	-0,538707613945007	
815,625	0,478370130062103	815,625	-0,538609981536865	
818,75	0,471538305282593	818,75	-0,539311945438385	
821,875	0,472160458564758	821,875	-0,537831783294678	
825	0,477992326021194	825	-0,536713778972626	
828,125	0,475148499011993	828,125	-0,53826379776001	
831,25	0,472061395645142	831,25	-0,526296198368073	
834,375	0,46501213312149	834,375	-0,53754323720932	
