Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
840,625	0,424731999635696	840,625	-0,288911253213882	
843,75	0,422695577144623	843,75	-0,288988888263702	
846,875	0,423707485198975	846,875	-0,289230614900589	
850	0,41813063621521	850	-0,287177175283432	
853,125	0,418838113546371	853,125	-0,286437600851059	
856,25	0,421030819416046	856,25	-0,282682329416275	
859,375	0,419490218162537	859,375	-0,280807763338089	
862,5	0,417774856090546	862,5	-0,281722158193588	
865,625	0,417685687541962	865,625	-0,280822783708572	
868,75	0,418526321649551	868,75	-0,279759377241135	
871,875	0,417438834905624	871,875	-0,279754966497421	
875	0,416382730007172	875	-0,279263496398926	
878,125	0,415272980928421	878,125	-0,274962544441223	
881,25	0,414793968200684	881,25	-0,275534331798553	
884,375	0,416341125965118	884,375	-0,246885702013969	
887,5	0,415455222129822	887,5	-0,244590729475021	
890,625	0,414978235960007	890,625	-0,244591131806374	
893,75	0,414678663015366	893,75	-0,243840411305428	
896,875	0,412904292345047	896,875	-0,243038013577461	
900	0,413090288639069	900	-0,242035135626793	
903,125	0,411833882331848	903,125	-0,241417154669762	
906,25	0,409851878881454	906,25	-0,238620743155479	
909,375	0,409460633993149	909,375	-0,237293288111687	
912,5	0,408483386039734	912,5	-0,237909272313118	
915,625	0,407675564289093	915,625	-0,235019594430923	
918,75	0,40616649389267	918,75	-0,233134865760803	
921,875	0,404871374368668	921,875	-0,234984308481216	
925	0,403753489255905	925	-0,233166053891182	
928,125	0,40424570441246	928,125	-0,232391387224197	
931,25	0,404813081026077	931,25	-0,231675207614899	
934,375	0,404278367757797	934,375	-0,230206146836281	
937,5	0,403762519359589	937,5	-0,230947121977806	
940,625	0,401782155036926	940,625	-0,229104623198509	
943,75	0,400790750980377	943,75	-0,227071762084961	
946,875	0,400257349014282	946,875	-0,225901782512665	
950	0,400327891111374	950	-0,225062057375908	
953,125	0,39871671795845	953,125	-0,224237769842148	
956,25	0,397469580173492	956,25	-0,222484081983566	
959,375	0,396633952856064	959,375	-0,221771791577339	
962,5	0,395627379417419	962,5	-0,221291676163673	
965,625	0,395382583141327	965,625	-0,219358563423157	
968,75	0,396355807781219	968,75	-0,218220934271812	
971,875	0,394420266151428	971,875	-0,218517556786537	
975	0,392895966768265	975	-0,217919528484344	
978,125	0,393328815698624	978,125	-0,21660915017128	
981,25	0,391471236944199	981,25	-0,215515673160553	
984,375	0,392114192247391	984,375	-0,214616626501083	
987,5	0,392215937376022	987,5	-0,21309195458889	
990,625	0,390901982784271	990,625	-0,21247772872448	
993,75	0,391436636447906	993,75	-0,211848765611649	
996,875	0,389973878860474	996,875	-0,209842339158058	
1000	0,389047741889954	1000	-0,20931251347065	
1003,125	0,389205247163773	1003,125	-0,207908645272255	
1006,25	0,38817235827446	1006,25	-0,206758692860603	
1009,375	0,387881249189377	1009,375	-0,206126838922501	
1012,5	0,387521922588348	1012,5	-0,205722153186798	
1015,625	0,386126935482025	1015,625	-0,203042656183243	
1018,75	0,385359615087509	1018,75	-0,204288750886917	
1021,875	0,385832786560059	1021,875	-0,202498242259026	
1025	0,385231733322144	1025	-0,202244699001312	
1028,125	0,384615987539291	1028,125	-0,200792029500008	
1031,25	0,384661018848419	1031,25	-0,200273305177689	
1034,375	0,38448041677475	1034,375	-0,19903764128685	
1037,5	0,383172035217285	1037,5	-0,198545500636101	
1040,625	0,383190095424652	1040,625	-0,197359174489975	
1043,75	0,382270008325577	1043,75	-0,196504965424538	
1046,875	0,382472097873688	1046,875	-0,195534482598305	
1050	0,381693810224533	1050	-0,195181369781494	
1053,125	0,382626712322235	1053,125	-0,19449083507061	
1056,25	0,381780356168747	1056,25	-0,194106340408325	
1059,375	0,380680173635483	1059,375	-0,192149117588997	
1062,5	0,381051629781723	1062,5	-0,191354915499687	
1065,625	0,380088210105896	1065,625	-0,19171704351902	
1068,75	0,379617929458618	1068,75	-0,190288946032524	
1071,875	0,379732668399811	1071,875	-0,189467594027519	
1075	0,378952175378799	1075	-0,188796132802963	
1078,125	0,378836274147034	1078,125	-0,188288971781731	
1081,25	0,378591299057007	1081,25	-0,18668569624424	
1084,375	0,377753078937531	1084,375	-0,186073690652847	
1087,5	0,377216279506683	1087,5	-0,185582473874092	
1090,625	0,376757860183716	1090,625	-0,184626311063766	
1093,75	0,376673996448517	1093,75	-0,183942705392838	
1096,875	0,376331657171249	1096,875	-0,183848172426224	
1100	0,376384705305099	1100	-0,182889208197594	
1103,125	0,376258701086044	1103,125	-0,182780519127846	
1106,25	0,374485671520233	1106,25	-0,180802300572395	
1109,375	0,37413090467453	1109,375	-0,180889323353767	
1112,5	0,375588804483414	1112,5	-0,180546596646309	
1115,625	0,375459879636765	1115,625	-0,179442077875137	
1118,75	0,374443143606186	1118,75	-0,179011523723602	
1121,875	0,374041169881821	1121,875	-0,178570866584778	
1125	0,374426007270813	1125	-0,177763566374779	
1128,125	0,37403529882431	1128,125	-0,176933154463768	
1131,25	0,373003005981445	1131,25	-0,177389696240425	
1134,375	0,373368889093399	1134,375	-0,175814732909203	
1137,5	0,372852772474289	1137,5	-0,176239311695099	
1140,625	0,373399078845978	1140,625	-0,176133513450623	
1143,75	0,372265368700027	1143,75	-0,176094889640808	
1146,875	0,372707903385162	1146,875	-0,176485598087311	
1150	0,373316407203674	1150	-0,174747064709663	
1153,125	0,372778177261353	1153,125	-0,173883840441704	
1156,25	0,371959239244461	1156,25	-0,173239886760712	
1159,375	0,371396034955978	1159,375	-0,173582330346107	
1162,5	0,370732337236404	1162,5	-0,173392191529274	
1165,625	0,370476901531219	1165,625	-0,172707736492157	
1168,75	0,371979415416718	1168,75	-0,172627449035645	
1171,875	0,371370106935501	1171,875	-0,173163309693336	
1175	0,371749043464661	1175	-0,171616911888123	
1178,125	0,372143566608429	1178,125	-0,171275153756142	
1181,25	0,371147602796555	1181,25	-0,171102821826935	
1184,375	0,369898200035095	1184,375	-0,171255439519882	
1187,5	0,370489239692688	1187,5	-0,170800924301147	
1190,625	0,369753688573837	1190,625	-0,170179322361946	
1193,75	0,369467079639435	1193,75	-0,16949836909771	
1196,875	0,368802309036255	1196,875	-0,169744566082954	
1200	0,369278103113174	1200	-0,169985175132751	
1203,125	0,368090122938156	1203,125	-0,169712051749229	
1206,25	0,369346380233765	1206,25	-0,169705793261528	
1209,375	0,369607120752335	1209,375	-0,168583378195763	
1212,5	0,368373990058899	1212,5	-0,17021669447422	
1215,625	0,368524223566055	1215,625	-0,170224338769913	
1218,75	0,368364661931992	1218,75	-0,170736506581306	
1221,875	0,367912232875824	1221,875	-0,171096384525299	
1225	0,369244515895844	1225	-0,171358704566956	
1228,125	0,367891281843185	1228,125	-0,170227035880089	
1231,25	0,368350565433502	1231,25	-0,169634863734245	
1234,375	0,366936266422272	1234,375	-0,169962346553802	
1237,5	0,366771250963211	1237,5	-0,172398135066032	
1240,625	0,367664903402328	1240,625	-0,174383029341698	
1243,75	0,366933435201645	1243,75	-0,173742353916168	
1246,875	0,368868380784988	1246,875	-0,174238726496696	
1250	0,366277694702148	1250	-0,17521408200264	
1253,125	0,365715980529785	1253,125	-0,174733832478523	
1256,25	0,366611927747726	1256,25	-0,175300121307373	
1259,375	0,366226077079773	1259,375	-0,174617350101471	
1262,5	0,362852782011032	1262,5	-0,177088692784309	
1265,625	0,364153027534485	1265,625	-0,179480865597725	
1268,75	0,362433224916458	1268,75	-0,179762586951256	
1271,875	0,361590355634689	1271,875	-0,180803745985031	
1275	0,361646592617035	1275	-0,182569056749344	
1278,125	0,361964255571365	1278,125	-0,183077558875084	
1281,25	0,358512789011002	1281,25	-0,185308560729027	
1284,375	0,358863532543182	1284,375	-0,186666965484619	
1287,5	0,358326941728592	1287,5	-0,188822776079178	
1290,625	0,357191145420074	1290,625	-0,191795900464058	
1293,75	0,355886548757553	1293,75	-0,192359432578087	
1296,875	0,351970076560974	1296,875	-0,193485051393509	
1300	0,349307090044022	1300	-0,196840956807137	
