Frequency in Hz	Wool_99 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99 Sound Reflection Factor continuous Im	
631.25	0.709154427051544	631.25	-0.566652953624725	
634.375	0.70747709274292	634.375	-0.568915903568268	
637.5	0.706978023052216	637.5	-0.571855902671814	
640.625	0.707251071929932	640.625	-0.571386873722076	
643.75	0.702924907207489	643.75	-0.577724099159241	
646.875	0.699971318244934	646.875	-0.577673614025116	
650	0.699919402599335	650	-0.582312226295471	
653.125	0.696719944477081	653.125	-0.582066357135773	
656.25	0.693852186203003	656.25	-0.582776963710785	
659.375	0.690186262130737	659.375	-0.586758077144623	
662.5	0.691839158535004	662.5	-0.588650226593018	
665.625	0.690400123596191	665.625	-0.592319488525391	
668.75	0.686003923416138	668.75	-0.593297481536865	
671.875	0.684752106666565	671.875	-0.592597603797913	
675	0.67970597743988	675	-0.595714092254639	
678.125	0.675971150398254	678.125	-0.598076105117798	
681.25	0.675555884838104	681.25	-0.599844515323639	
684.375	0.674507737159729	684.375	-0.601307570934296	
687.5	0.676607191562653	687.5	-0.604147851467133	
690.625	0.667909801006317	690.625	-0.611131429672241	
693.75	0.669869422912598	693.75	-0.608715534210205	
696.875	0.668129503726959	696.875	-0.610607147216797	
700	0.663167774677277	700	-0.613125264644623	
703.125	0.661797106266022	703.125	-0.616307377815247	
706.25	0.662098407745361	706.25	-0.616625726222992	
709.375	0.65853214263916	709.375	-0.616605877876282	
712.5	0.650586783885956	712.5	-0.623762726783752	
715.625	0.653665959835052	715.625	-0.623821020126343	
718.75	0.652666389942169	718.75	-0.626698613166809	
721.875	0.648107647895813	721.875	-0.627031445503235	
725	0.647787272930145	725	-0.631170570850372	
728.125	0.642435431480408	728.125	-0.631221413612366	
731.25	0.642669975757599	731.25	-0.633699655532837	
734.375	0.640548765659332	734.375	-0.634805023670197	
737.5	0.640777051448822	737.5	-0.636792242527008	
740.625	0.633524715900421	740.625	-0.637272298336029	
743.75	0.627483665943146	743.75	-0.638902127742767	
746.875	0.627167284488678	746.875	-0.647372245788574	
750	0.626412987709045	750	-0.648776829242706	
753.125	0.62561160326004	753.125	-0.647567212581635	
756.25	0.622360408306122	756.25	-0.647555232048035	
759.375	0.621222257614136	759.375	-0.645072758197784	
762.5	0.622600913047791	762.5	-0.648830473423004	
765.625	0.618258655071259	765.625	-0.649593114852905	
768.75	0.612935066223145	768.75	-0.656172454357147	
771.875	0.606868207454681	771.875	-0.657014787197113	
775	0.608654737472534	775	-0.658241152763367	
778.125	0.606305837631226	778.125	-0.657727062702179	
781.25	0.602121949195862	781.25	-0.6615309715271	
784.375	0.596901059150696	784.375	-0.662908792495728	
787.5	0.591841638088226	787.5	-0.667061924934387	
790.625	0.590876758098602	790.625	-0.668242037296295	
793.75	0.591896891593933	793.75	-0.667414367198944	
796.875	0.592940151691437	796.875	-0.669934391975403	
800	0.588651180267334	800	-0.672768592834473	
803.125	0.591663360595703	803.125	-0.674394190311432	
806.25	0.58445817232132	806.25	-0.675230264663696	
809.375	0.57101833820343	809.375	-0.681210219860077	
812.5	0.578526020050049	812.5	-0.677464842796326	
815.625	0.580713510513306	815.625	-0.676753222942352	
818.75	0.570257484912872	818.75	-0.680241823196411	
821.875	0.569782435894012	821.875	-0.67950314283371	
825	0.577435553073883	825	-0.678195416927338	
828.125	0.573495805263519	828.125	-0.680174648761749	
831.25	0.567400515079498	831.25	-0.662687957286835	
834.375	0.554909408092499	834.375	-0.678309321403503	
837.5	0.556858003139496	837.5	-0.687112271785736	
840.625	0.554374396800995	840.625	-0.691022455692291	
843.75	0.547460734844208	843.75	-0.68996673822403	
846.875	0.5492924451828	846.875	-0.694646775722504	
850	0.548417925834656	850	-0.699225604534149	
853.125	0.551042854785919	853.125	-0.698176383972168	
856.25	0.550699055194855	856.25	-0.689517617225647	
859.375	0.543602228164673	859.375	-0.68769782781601	
862.5	0.540126085281372	862.5	-0.693524301052094	
865.625	0.539651155471802	865.625	-0.695784449577332	
868.75	0.539852380752563	868.75	-0.697856187820435	
871.875	0.534338653087616	871.875	-0.701390981674194	
875	0.530962705612183	875	-0.696608543395996	
878.125	0.529578626155853	878.125	-0.700465083122253	
881.25	0.523970246315002	881.25	-0.700751423835754	
884.375	0.515430927276611	884.375	-0.711278736591339	
887.5	0.512431859970093	887.5	-0.708236575126648	
890.625	0.508338153362274	890.625	-0.711388647556305	
893.75	0.507619082927704	893.75	-0.719873487949371	
896.875	0.503223836421967	896.875	-0.719788610935211	
900	0.503654897212982	900	-0.719562768936157	
