Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Im	
1000	0,929117918014526	1000	-1,109858751297	
1003,125	0,93438047170639	1003,125	-1,10576546192169	
1006,25	0,937061190605164	1006,25	-1,10020816326141	
1009,375	0,937534213066101	1009,375	-1,09332656860352	
1012,5	0,940816760063171	1012,5	-1,09076714515686	
1015,625	0,94172990322113	1015,625	-1,08815407752991	
1018,75	0,941102504730225	1018,75	-1,07864046096802	
1021,875	0,945158720016479	1021,875	-1,07722020149231	
1025	0,947012782096863	1025	-1,06966912746429	
1028,125	0,949197590351105	1028,125	-1,06648457050323	
1031,25	0,949764847755432	1031,25	-1,06470227241516	
1034,375	0,951287388801575	1034,375	-1,05816304683685	
1037,5	0,953977346420288	1037,5	-1,053058385849	
1040,625	0,954227030277252	1040,625	-1,0482804775238	
1043,75	0,95668613910675	1043,75	-1,04538941383362	
1046,875	0,958828270435333	1046,875	-1,04158461093903	
1050	0,957962512969971	1050	-1,03566551208496	
1053,125	0,957864880561829	1053,125	-1,03407263755798	
1056,25	0,959844350814819	1056,25	-1,0272821187973	
1059,375	0,962574005126953	1059,375	-1,02546632289886	
1062,5	0,963279008865356	1062,5	-1,0218813419342	
1065,625	0,962016224861145	1065,625	-1,01496088504791	
1068,75	0,966861128807068	1068,75	-1,01219773292542	
1071,875	0,968553602695465	1071,875	-1,0076562166214	
1075	0,969302833080292	1075	-1,00524353981018	
1078,125	0,967012047767639	1078,125	-1,00226998329163	
1081,25	0,97136116027832	1081,25	-0,991860568523407	
1084,375	0,971900463104248	1084,375	-0,990797698497772	
1087,5	0,973414957523346	1087,5	-0,987874388694763	
1090,625	0,975080192089081	1090,625	-0,985888361930847	
1093,75	0,974506556987762	1093,75	-0,981801211833954	
1096,875	0,976515769958496	1096,875	-0,975903749465942	
1100	0,977043807506561	1100	-0,971493184566498	
1103,125	0,97768247127533	1103,125	-0,967525899410248	
1106,25	0,982858717441559	1106,25	-0,965172946453094	
1109,375	0,978784084320068	1109,375	-0,960546135902405	
1112,5	0,980227589607239	1112,5	-0,96074366569519	
1115,625	0,984744191169739	1115,625	-0,953711807727814	
1118,75	0,980794191360474	1118,75	-0,953729152679443	
1121,875	0,984309613704681	1121,875	-0,951794981956482	
1125	0,981509208679199	1125	-0,948932588100433	
1128,125	0,98191887140274	1128,125	-0,948338449001312	
1131,25	0,981608927249908	1131,25	-0,938251614570618	
1134,375	0,983361303806305	1134,375	-0,937664330005646	
1137,5	0,980520069599152	1137,5	-0,936804294586182	
1140,625	0,978167831897736	1140,625	-0,928646087646484	
1143,75	0,982722997665405	1143,75	-0,928274393081665	
1146,875	0,98111617565155	1146,875	-0,923874497413635	
1150	0,982387840747833	1150	-0,916130840778351	
1153,125	0,985087692737579	1153,125	-0,914299786090851	
1156,25	0,982490003108978	1156,25	-0,915310263633728	
1159,375	0,978265225887299	1159,375	-0,9090775847435	
1162,5	0,982513129711151	1162,5	-0,908814311027527	
1165,625	0,9818434715271	1165,625	-0,902670621871948	
1168,75	0,9819375872612	1168,75	-0,899038553237915	
1171,875	0,981044232845306	1171,875	-0,896660506725311	
1175	0,979867219924927	1175	-0,889992892742157	
1178,125	0,978830099105835	1178,125	-0,887716770172119	
1181,25	0,978959023952484	1181,25	-0,885530769824982	
1184,375	0,978200018405914	1184,375	-0,878302216529846	
