Frequency in Hz	Silk_92 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92 Sound Absorption Coefficient continuous	
		428,125	0,403110623737422	
		431,25	0,416045421126758	
		434,375	0,445277084103313	
		437,5	0,445070167377478	
		440,625	0,434315759511653	
		443,75	0,439990741967645	
		446,875	0,428449057465201	
		450	0,427136768552403	
		453,125	0,431705239599411	
		456,25	0,444573513711067	
		459,375	0,438174988285359	
		462,5	0,43415545683261	
		465,625	0,430592993671373	
		468,75	0,434619334228015	
		471,875	0,442699458300423	
		475	0,426046058277019	
		478,125	0,427805949926975	
		481,25	0,44005337719534	
		484,375	0,441084209590074	
		487,5	0,441529281084303	
		490,625	0,436839988782053	
		493,75	0,436834379461744	
		496,875	0,4468315175329	
		500	0,444287687644922	
		503,125	0,444768383338958	
		506,25	0,43977333499821	
		509,375	0,440601169813997	
		512,5	0,444947543109326	
		515,625	0,450532361810297	
		518,75	0,436265434923348	
		521,875	0,434629001052129	
		525	0,446428344984684	
		528,125	0,446108486835417	
		531,25	0,443089850071496	
		534,375	0,44303818916994	
		537,5	0,445267871479313	
		540,625	0,441369035636925	
		543,75	0,444120646827584	
		546,875	0,451877783823317	
		550	0,445612430496089	
		553,125	0,445271033080029	
		556,25	0,455867314095973	
		559,375	0,455427010408493	
		562,5	0,44894831714461	
		565,625	0,444635544596857	
		568,75	0,45458259505275	
		571,875	0,456169138778576	
		575	0,452899528765321	
		578,125	0,450385541233902	
		581,25	0,455688708912618	
		584,375	0,453948969290992	
		587,5	0,45312373369822	
		590,625	0,452668193420149	
		593,75	0,453973165352131	
		596,875	0,454228854158942	
		600	0,451182067268854	
		603,125	0,453337807361039	
		606,25	0,457800432832006	
		609,375	0,46130366163569	
		612,5	0,459693943133753	
		615,625	0,462835016015267	
		618,75	0,459428462001013	
		621,875	0,462738336269105	
		625	0,464381668261774	
		628,125	0,46114387609629	
		631,25	0,460746967381878	
		634,375	0,462505403693442	
		637,5	0,465678634605879	
		640,625	0,463795315792871	
		643,75	0,461183809659658	
		646,875	0,462882847426012	
		650	0,464014560472006	
		653,125	0,46203428986761	
		656,25	0,460336849082873	
		659,375	0,458678029708809	
		662,5	0,463112078759208	
		665,625	0,460871506878776	
		668,75	0,462469559994848	
		671,875	0,463669662960656	
		675	0,463806211681483	
		678,125	0,466392130448567	
		681,25	0,465495551035048	
		684,375	0,465039558805671	
		687,5	0,467908549094001	
		690,625	0,467164095215758	
		693,75	0,467590281602438	
		696,875	0,469180942365624	
		700	0,46533448748701	
		703,125	0,463306025031075	
		706,25	0,466478434743682	
		709,375	0,466920534143216	
		712,5	0,463150474439219	
		715,625	0,466198195683133	
		718,75	0,469697251445625	
		721,875	0,464698392667987	
		725	0,466240070505156	
		728,125	0,468570800456624	
		731,25	0,463404401701784	
		734,375	0,466257834103812	
		737,5	0,466553623373452	
		740,625	0,466554483048327	
		743,75	0,466679569015566	
		746,875	0,464728607533084	
		750	0,468783171218001	
		753,125	0,469629990897044	
		756,25	0,469638448867102	
		759,375	0,46659496452283	
		762,5	0,468953177559634	
		765,625	0,469671707943548	
		768,75	0,474613868481261	
		771,875	0,47184984622416	
		775	0,470340196272206	
		778,125	0,47534934578976	
		781,25	0,471954764244444	
		784,375	0,47030393711214	
		787,5	0,47666874940363	
		790,625	0,472597650614581	
		793,75	0,474035002028235	
		796,875	0,473366562611641	
		800	0,47355724139823	
		803,125	0,475837877500633	
		806,25	0,471433012474509	
		809,375	0,470725607067963	
		812,5	0,473428387435429	
		815,625	0,477048285211942	
		818,75	0,472802876426314	
		821,875	0,475946959987672	
		825	0,474594630328404	
		828,125	0,47739744143514	
		831,25	0,481128067192599	
		834,375	0,478398810360402	
		837,5	0,475397726135172	
		840,625	0,476753746194848	
		843,75	0,473416637981502	
		846,875	0,469170753735812	
		850	0,474776966212204	
		853,125	0,475411657138047	
		856,25	0,477624526369719	
		859,375	0,48391379904027	
		862,5	0,481407189742628	
		865,625	0,476567132898448	
		868,75	0,475581376249852	
		871,875	0,473029705225961	
		875	0,47348617783737	
		878,125	0,477420784483755	
		881,25	0,477283461841825	
		884,375	0,491931551074543	
		887,5	0,493409069425685	
		890,625	0,491315376576933	
		893,75	0,489847901722426	
		896,875	0,493084226001295	
		900	0,490848800596434	
		903,125	0,491444903877009	
		906,25	0,497054196826405	
		909,375	0,496703767638288	
		912,5	0,493438283507439	
		915,625	0,498283445207443	
		918,75	0,500647870303687	
		921,875	0,497589863670981	
		925	0,500298582580318	
		928,125	0,49673900740819	
		931,25	0,492584796671571	
		934,375	0,492887667603501	
		937,5	0,489737156807636	
		940,625	0,494938049923024	
		943,75	0,497787322829308	
		946,875	0,497941579448468	
		950	0,495232948143087	
		953,125	0,49801700503668	
		956,25	0,501245669457876	
		959,375	0,502019184126898	
		962,5	0,502392785910419	
		965,625	0,502621898820903	
		968,75	0,498981526645763	
		971,875	0,50102553516276	
		975	0,503197095955279	
		978,125	0,501594770720537	
		981,25	0,505594686664143	
		984,375	0,502061741484177	
		987,5	0,501924194893269	
		990,625	0,503176624576774	
		993,75	0,499192734360667	
		996,875	0,504091534642009	
		1000	0,504507661365827	
		1003,125	0,503781671867177	
		1006,25	0,506562153164861	
		1009,375	0,50587364928477	
		1012,5	0,504132043441868	
		1015,625	0,510823865409816	
		1018,75	0,507380270947415	
		1021,875	0,507101050618881	
		1025	0,506500290180554	
		1028,125	0,508255565847909	
		1031,25	0,506848463332937	
		1034,375	0,507048526612203	
		1037,5	0,507987148972084	
		1040,625	0,508780000565984	
		1043,75	0,510163054711604	
		1046,875	0,508407932101493	
		1050	0,50925775145902	
		1053,125	0,506199888371564	
